pattern_id,pred_ppf_max,pred_ppf_std,cycle_length,keff_boc
pattern_05528,4.310343,0.3705275067293569,322.06076,1.0595864
pattern_01916,4.3763423,0.3515821329545952,298.44183,1.0570168
pattern_05473,4.4087048,0.34499579585975537,307.10153,1.0589417
pattern_02698,4.4227743,0.33958660536261204,312.20612,1.0642844
pattern_06167,4.317937,0.3338127175157333,316.8139,1.0547936
pattern_04187,4.3117027,0.3294895735452149,319.9,1.0602654
pattern_00880,4.3439054,0.3246178239564855,322.6443,1.0643046
pattern_07325,4.4968977,0.3208539799603473,331.78738,1.0598369
pattern_09129,4.4308586,0.3163666578182673,314.7377,1.0606552
pattern_00157,4.4210463,0.3150700661545599,317.79303,1.0602907
pattern_06054,4.0919223,0.31141465104736016,300.59842,1.068268
pattern_02561,4.472315,0.3043629114155244,304.16333,1.0602368
pattern_01774,4.2979193,0.29960585384561955,326.21237,1.0542175
pattern_01223,4.43661,0.2977455062257947,304.2064,1.0690838
pattern_03308,4.0524025,0.2964770120024858,307.60547,1.053074
pattern_07450,3.867083,0.29489058348222796,311.7771,1.0581894
pattern_00938,4.3086333,0.29316631659356623,293.71008,1.061171
pattern_07034,4.161292,0.2867737651933862,302.6308,1.0553988
pattern_00533,4.2933354,0.2850783631641999,304.3735,1.0525177
pattern_02258,4.2069864,0.2850734368288349,293.68777,1.0636888
pattern_00453,4.4286404,0.28275293482828234,296.13934,1.0700563
pattern_02466,4.3494167,0.2825240706551692,324.23627,1.062157
pattern_08600,4.0400286,0.28250765778910386,304.85962,1.0655335
pattern_09512,4.376608,0.2823019894764782,320.1556,1.0662049
pattern_05872,4.476395,0.2814928327039118,338.32776,1.0619602
pattern_08425,4.1314383,0.27939827373288917,289.28635,1.0593117
pattern_02228,3.833898,0.2782993543701346,290.2491,1.0539272
pattern_00063,4.3355336,0.2779484705637846,310.2104,1.0695173
pattern_01554,4.493044,0.2765359738640019,298.62357,1.052614
pattern_07911,4.4233947,0.27647215430334365,327.52298,1.0591959
pattern_04264,4.4518514,0.2744237394987551,305.7808,1.0655792
pattern_04558,4.0351715,0.2735330135049439,278.65704,1.0553758
pattern_08941,4.182535,0.2732790225459238,316.97336,1.0578923
pattern_07549,4.138541,0.2727359373939761,297.72174,1.0601851
pattern_09516,4.215443,0.2726209235542483,298.59772,1.0531923
pattern_01957,4.360352,0.27260956080081844,307.52783,1.0722913
pattern_00895,4.2993007,0.2723822562213133,303.8535,1.0528052
pattern_04713,4.058219,0.2720694463033622,321.8277,1.0617915
pattern_04935,4.2973676,0.2713481218819267,314.9135,1.0631411
pattern_00584,3.961761,0.27089212641748706,302.1145,1.0712531
pattern_04055,4.061976,0.26904170573475455,289.82773,1.0617629
pattern_00204,4.0662274,0.268456684843569,306.47623,1.0640715
pattern_00771,4.3981442,0.2674635207807105,323.79956,1.0766286
pattern_07479,4.0529947,0.2668496845409578,285.3543,1.0599554
pattern_09024,3.6653185,0.26648347710852266,332.70468,1.059355
pattern_00927,4.366398,0.2658922425983592,288.39862,1.068134
pattern_04961,4.3536696,0.26539705925008633,310.08768,1.0785849
pattern_06190,4.163818,0.2625976629900558,311.89557,1.0590718
pattern_02728,4.0489025,0.26241813643695505,330.23474,1.0642486
pattern_05896,3.5883415,0.2606010365954351,306.28723,1.0579412
