position,sensitivity,sensitivity_norm,monocore_efpd_type
pos_0,0.09847124,0.75314033,172.94995
pos_1,0.13058524,0.9987588,366.9690366630077
pos_2,0.09916046,0.75841177,323.2173689075629
pos_3,0.094150096,0.72009087,299.7989059724349
pos_4,0.07944576,0.6076272,519.9724344569289
pos_5,0.0685477,0.52427536,504.8658410526315
pos_6,0.0814619,0.62304735,475.3069333333334
pos_7,0.102518015,0.7840914,471.6341494768312
pos_8,0.12613122,0.964693,454.6721877813505
pos_9,0.13074751,0.9999999,172.94995
pos_10,0.10044139,0.7682087,366.9690366630077
pos_11,0.08443609,0.6457949,323.2173689075629
pos_12,0.08502626,0.6503087,299.7989059724349
pos_13,0.09901844,0.75732553,519.9724344569289
pos_14,0.098737195,0.75517446,504.8658410526315
pos_15,0.1073469,0.8210243,475.3069333333334
pos_16,0.1093794,0.83656955,471.6341494768312
pos_17,0.08822917,0.67480564,454.6721877813505
pos_18,0.085554644,0.65435,172.94995
pos_19,0.09604005,0.7345458,366.9690366630077
pos_20,0.09758119,0.746333,323.2173689075629
pos_21,0.09857257,0.75391537,299.7989059724349
pos_22,0.11796503,0.90223527,519.9724344569289
pos_23,0.09194903,0.70325637,504.8658410526315
pos_24,0.07144543,0.5464381,475.3069333333334
pos_25,0.08920042,0.6822341,471.6341494768312
pos_26,0.09723056,0.7436513,454.6721877813505
pos_27,0.10973667,0.8393021,172.94995
pos_28,0.08935493,0.68341583,366.9690366630077
pos_29,0.077404335,0.5920138,323.2173689075629
pos_30,0.05539361,0.4236685,299.7989059724349
