position,sensitivity,sensitivity_norm
pos_0,0.96770453,0.5453062
pos_1,1.7746075,1.0
pos_2,0.9522321,0.5365874
pos_3,0.6697289,0.37739548
pos_4,0.61217886,0.3449658
pos_5,0.61279863,0.345315
pos_6,0.5874898,0.33105335
pos_7,0.34254956,0.19302835
pos_8,1.5458646,0.8711022
pos_9,1.3599979,0.7663654
pos_10,0.9768288,0.5504478
pos_11,0.96343184,0.54289854
pos_12,1.0060409,0.56690896
pos_13,1.014584,0.571723
pos_14,0.55012244,0.30999666
pos_15,0.7535662,0.42463824
pos_16,0.9776086,0.5508872
pos_17,0.952083,0.53650343
pos_18,0.98299044,0.5539199
pos_19,0.98336583,0.55413145
pos_20,0.5296242,0.29844582
pos_21,0.7058342,0.39774102
pos_22,1.0433694,0.58794373
pos_23,1.0262799,0.57831377
pos_24,0.8547153,0.48163623
pos_25,0.4207764,0.23710956
pos_26,0.711876,0.40114558
pos_27,1.0619718,0.5984263
pos_28,0.6657724,0.37516597
pos_29,0.5313243,0.29940385
pos_30,0.4258574,0.23997273
