dataset_idx,pred_ppf_max,pred_ppf_std,priority,cycle_length,rho_pcm_boc,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
945,2.083075523376465,0.16931598835338665,0.0812816957124417,329.18145751953125,12867.12890625,8,9,3,3,4,7,1,1,4,4,4,5,5,6,1,1,1,5,1,1,1,1,5,3,6,4,1,1,3,1,2
2379,1.9386465549468994,0.13845493720236587,0.07141831435918762,321.15753173828125,9302.8544921875,1,3,4,1,1,1,1,5,2,3,9,1,1,1,1,4,4,1,8,5,6,5,4,4,3,6,3,7,1,1,5
7641,1.7895965576171875,0.1197116314462152,0.06689304756566328,324.1178894042969,9134.615234375,1,4,6,4,6,1,9,1,1,1,4,3,3,1,5,4,4,3,7,1,5,1,8,2,1,5,1,3,1,5,1
8867,1.8847906589508057,0.11900555004826738,0.06313989793413684,314.1441650390625,8999.5458984375,1,4,1,3,3,1,6,5,9,7,4,1,8,2,1,3,4,1,4,1,1,1,1,3,4,5,6,1,5,1,5
9572,2.1540141105651855,0.13553255370405362,0.06292089408014648,315.5748291015625,12242.8173828125,4,9,4,4,5,4,3,7,8,4,1,2,3,1,6,1,1,5,5,1,1,1,1,5,1,1,3,3,1,6,1
7913,1.817887544631958,0.11133681176351129,0.06124512689708072,307.7307434082031,9455.9970703125,3,1,1,3,1,9,1,3,1,1,4,4,7,2,3,4,1,6,4,1,5,1,4,1,1,5,6,1,8,5,5
9742,1.7726969718933105,0.1082827586524474,0.06108359303109959,315.2449645996094,9317.181640625,1,1,1,1,9,1,5,3,1,4,1,1,4,1,2,3,3,1,1,4,6,4,3,7,6,4,5,8,5,1,5
4592,1.9054014682769775,0.11428316111506732,0.059978490526967874,319.37982177734375,10998.21484375,6,4,9,1,3,1,4,1,8,7,1,1,1,5,5,1,1,4,5,3,3,4,5,1,1,1,4,6,3,1,2
7865,2.0949552059173584,0.12085576847106895,0.05768892485779979,310.1779479980469,9615.3681640625,5,8,7,1,1,1,1,5,3,3,4,3,1,6,1,5,4,1,4,1,6,4,9,5,1,3,2,1,1,1,4
4500,1.9569642543792725,0.1122951483348155,0.05738229165888189,333.35577392578125,11912.1455078125,3,9,1,3,7,1,1,4,8,4,4,1,6,5,1,1,5,1,6,3,1,4,1,5,4,5,3,2,1,1,1
3965,1.938391923904419,0.11071943997754445,0.05711919459580616,297.7370300292969,9404.95703125,8,1,3,3,3,1,2,1,9,4,4,6,1,1,4,5,3,4,1,1,1,7,1,1,1,5,6,4,1,5,5
8043,2.1381986141204834,0.12142285287951031,0.05678742747326338,316.1055603027344,10001.083984375,5,1,1,4,6,1,1,1,1,3,3,8,1,1,4,9,4,1,4,5,6,5,3,5,1,7,3,4,2,1,1
6158,2.0729317665100098,0.11317517744151148,0.0545966477056949,318.15802001953125,9656.640625,1,1,1,1,1,6,2,4,1,1,1,4,1,1,5,9,8,3,1,3,5,4,3,4,5,5,3,7,4,1,6
