position,sobol_first_order,sobol_first_order_norm,gradient_sensitivity_norm,mean_abs_shap
pos_0,0.0008756410693853524,0.026125023169067497,0.60158646,0.2943372291336349
pos_1,0.033517330782584884,0.9999999701646896,1.0,1.0602771988477824
pos_2,0.0014441280889031678,0.04308600989693087,0.762287,0.24118434427401647
pos_3,6.169027296841832e-05,0.0018405484472505563,0.60259223,0.01329375642458817
pos_4,0.0005353967793484899,0.01597372913874589,0.49361902,0.0016968994265644075
pos_5,0.00016966683565822915,0.005062062719037366,0.39148992,0.002638116824638498
pos_6,8.512805071421686e-05,0.002539821823121617,0.46155956,0.0017045693421637576
pos_7,0.00024693515823938437,0.007367387113066329,0.51950496,0.006814815741095895
pos_8,0.008535022298154291,0.25464504016960454,0.88481855,0.6197842303311474
pos_9,0.005009606484712208,0.14946316482492578,0.9911861,0.1871015591525039
pos_10,0.0005543884645773946,0.016540351963978434,0.7111522,0.021547154931038665
pos_11,0.0005113252143820627,0.015255546524372799,0.53391904,0.042866776367433475
pos_12,0.000954183100967631,0.02846834906659875,0.575149,0.03595996234567191
pos_13,0.0005922147935067444,0.017668912231684583,0.60361904,0.03141590533679993
pos_14,0.0001074076005655872,0.0032045391101625403,0.53104895,0.002985260099832452
pos_15,0.0001626264833352017,0.004852011621632127,0.6774131,0.026840407464428107
pos_16,6.177672189357469e-05,0.0018431276777727567,0.67087483,0.04652812459858187
pos_17,0.0007802299063980421,0.02327840149863714,0.526443,0.05355573908270463
pos_18,0.001706477170407453,0.05091327619623092,0.5017102,0.04525978485815687
pos_19,0.0010131649978577326,0.03022809227267185,0.54384196,0.00605408656758188
pos_20,0.0007443597583105602,0.022208204493691788,0.54431623,0.009877806729699295
pos_21,3.116578670136107e-05,0.0009298409224076231,0.62715113,0.007961504097882445
pos_22,0.0009350130140383815,0.0278964035712473,0.71421367,0.06652340256835523
pos_23,0.001306687053579495,0.03898541393615439,0.5481922,0.03164463902208868
pos_24,0.000431758628490159,0.012881652730916203,0.40612227,0.007804070025193069
pos_25,3.994336131402714e-06,0.0001191722586186921,0.44854933,0.011152625096580762
pos_26,0.0005583552528232263,0.016658702322878204,0.58512497,0.0013012328771215226
pos_27,0.0011579052036078854,0.03454646124932642,0.69738597,0.02005617759787403
pos_28,0.00039118003197846234,0.011670977705382675,0.45787102,0.0007372373100642275
pos_29,0.0002874024926256961,0.008574742598544979,0.4363134,0.013197261361691604
pos_30,0.00013386598508449793,0.0039939332269298584,0.35204527,0.007648706140771545
