ppf,cycle,crowding_distance,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
1.5723974,356.001,inf,1,1,1,4,4,4,3,1,1,1,6,9,7,5,1,3,1,7,8,5,6,4,3,1,5,1,4,5,6,1,1
1.5731314,356.4453,0.027384530468526333,1,1,1,4,4,4,3,1,1,1,6,9,7,5,1,3,1,7,8,5,6,4,4,1,5,1,4,5,6,1,1
1.5731314,356.4453,0.0,1,1,1,4,4,4,3,1,1,1,6,9,7,5,1,3,1,7,8,5,6,4,4,1,5,1,4,5,6,1,1
1.5731314,356.4453,0.0,1,1,1,4,4,4,3,1,1,1,6,9,7,5,1,3,1,7,8,5,6,4,4,1,5,1,4,5,6,1,1
1.5731314,356.4453,0.0,1,1,1,4,4,4,3,1,1,1,6,9,7,5,1,3,1,7,8,5,6,4,4,1,5,1,4,5,6,1,1
1.5731314,356.4453,0.15929340629165112,1,1,1,4,4,4,3,1,1,1,6,9,7,5,1,3,1,7,8,5,6,4,4,1,5,1,4,5,6,1,1
1.5736582,360.15753,0.15929340629165112,1,1,1,4,9,4,1,1,1,1,6,9,7,5,1,3,1,9,8,5,6,4,4,2,5,1,4,5,1,1,1
1.5736582,360.15753,0.11478461488222524,1,1,1,4,9,4,1,1,1,1,6,9,7,5,1,3,1,9,8,5,6,4,4,2,5,1,4,5,1,1,1
1.5764616,362.10233,0.11478461488222524,1,1,1,4,9,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,3,5,1,1,1
1.5764616,362.10233,0.00829985371514747,1,1,1,4,9,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,3,5,1,1,1
1.5765088,362.2898,0.00829985371514747,1,1,1,4,9,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5765088,362.2898,0.0,1,1,1,4,9,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5765088,362.2898,0.0702074991763642,1,1,1,4,9,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5809667,362.65286,0.0702074991763642,1,1,1,4,4,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,3,2,5,1,4,5,1,1,1
1.5809667,362.65286,0.0374712913668211,1,1,1,4,4,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,3,2,5,1,4,5,1,1,1
1.5830789,362.92712,0.0374712913668211,1,1,1,4,4,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5830789,362.92712,0.0,1,1,1,4,4,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5830789,362.92712,0.0,1,1,1,4,4,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5830789,362.92712,0.0,1,1,1,4,4,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5830789,362.92712,0.0,1,1,1,4,4,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5830789,362.92712,0.0,1,1,1,4,4,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5830789,362.92712,0.0,1,1,1,4,4,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5830789,362.92712,0.0,1,1,1,4,4,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5830789,362.92712,0.0,1,1,1,4,4,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5830789,362.92712,0.0,1,1,1,4,4,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5830789,362.92712,0.0,1,1,1,4,4,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5830789,362.92712,0.0,1,1,1,4,4,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5830789,362.92712,0.0,1,1,1,4,4,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5830789,362.92712,0.0,1,1,1,4,4,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5830789,362.92712,0.4047890694891343,1,1,1,4,4,4,4,1,1,1,6,9,6,5,1,3,1,9,9,5,1,4,4,2,5,1,4,5,1,1,1
1.5843349,372.38535,0.4047890694891343,1,9,8,4,4,4,4,1,4,9,5,9,6,5,1,3,1,9,7,5,1,4,4,5,5,1,4,5,1,1,1
1.5843349,372.38535,0.24500715182652333,1,9,8,4,4,4,4,1,4,9,5,9,6,5,1,3,1,9,7,5,1,4,4,5,5,1,4,5,1,1,1
1.5992566,373.84378,0.4945264670743582,1,9,9,4,4,4,4,1,3,9,6,9,6,5,1,3,1,9,7,5,1,4,4,5,5,1,3,5,3,1,1
1.6073363,377.47314,0.6024907427585321,1,9,8,4,4,4,4,1,4,9,5,9,5,6,1,3,8,9,7,5,1,4,3,5,5,1,4,5,1,1,1
1.6342492,377.9427,0.3529714275106972,1,4,8,4,4,4,4,1,4,9,5,9,5,6,1,3,8,7,7,5,1,4,3,5,5,1,3,5,1,1,1
1.6342492,377.9427,0.08944681955925424,1,4,8,4,4,4,4,1,4,9,5,9,5,6,1,3,8,7,7,5,1,4,3,5,5,1,3,5,1,1,1
1.6360729,379.5669,0.12063118638094683,1,4,9,4,4,4,4,1,4,9,6,9,5,5,1,3,8,9,7,5,1,4,4,5,5,1,3,5,3,1,1
1.636943,380.06256,0.24082500802731485,1,4,8,4,4,4,4,1,4,9,8,9,5,6,1,3,8,7,7,5,1,4,4,5,5,1,4,5,3,1,1
1.6530597,380.30157,0.20964064120562229,1,4,8,4,4,4,4,1,4,9,8,9,5,6,1,3,9,9,7,5,1,4,4,5,5,1,4,5,3,1,1
1.6530597,380.30157,0.0,1,4,8,4,4,4,4,1,4,9,8,9,5,6,1,3,9,9,7,5,1,4,4,5,5,1,4,5,3,1,1
1.6530597,380.30157,inf,1,4,8,4,4,4,4,1,4,9,8,9,5,6,1,3,9,9,7,5,1,4,4,5,5,1,4,5,3,1,1
