arm,seed,gen,ppf_pred,sigma,h_hist_pop,sens_novelty,composite,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
A_baseline,42,1,4.411368370056152,0.156473770737648,1.7196721425001171,0.0,0.156473770737648,5,1,5,4,3,1,5,5,7,5,1,1,1,1,1,1,7,1,6,1,1,1,1,6,5,1,6,7,5,4,1
A_baseline,42,1,2.6497011184692383,0.081878662109375,1.7196721425001171,0.0,0.081878662109375,1,1,1,3,4,1,1,5,4,4,4,3,1,8,5,1,4,3,6,1,3,5,1,3,9,2,5,5,5,6,1
A_baseline,42,1,3.7281949520111084,0.09482453018426895,1.7196721425001171,0.0,0.09482453018426895,1,1,5,5,4,5,3,7,1,2,1,5,1,1,3,1,4,4,2,4,5,1,3,9,1,5,8,5,5,6,1
A_baseline,42,1,2.394544839859009,0.09038916975259781,1.7196721425001171,0.0,0.09038916975259781,7,1,1,4,4,2,1,5,8,5,3,4,5,1,6,3,4,1,5,1,4,6,1,4,5,4,1,4,5,1,4
A_baseline,42,1,2.7846665382385254,0.10063827782869339,1.7196721425001171,0.0,0.10063827782869339,1,2,1,1,3,1,4,1,5,3,4,5,5,3,7,3,7,1,5,8,1,1,6,6,1,7,1,6,2,1,3
A_baseline,42,1,2.373288154602051,0.07655680179595947,1.7196721425001171,0.0,0.07655680179595947,3,5,8,4,5,5,1,3,4,3,1,1,9,1,5,4,1,4,6,4,6,2,6,9,7,1,1,4,3,1,1
A_baseline,42,1,2.1239173412323,0.07927852869033813,1.7196721425001171,0.0,0.07927852869033813,8,1,3,1,4,1,5,5,4,1,3,6,4,4,4,1,7,3,3,3,5,1,3,1,5,4,1,4,5,1,1
A_baseline,42,1,4.0129218101501465,0.09577248245477676,1.7196721425001171,0.0,0.09577248245477676,5,6,1,2,3,2,1,1,1,3,3,5,4,3,4,6,4,1,1,3,3,5,1,1,4,3,3,3,3,5,9
A_baseline,42,1,5.5816731452941895,0.22432367503643036,1.7196721425001171,0.0,0.22432367503643036,5,5,1,7,4,1,1,4,7,4,3,4,4,7,1,4,1,3,1,1,1,1,4,3,1,3,3,1,1,1,9
A_baseline,42,1,3.1350107192993164,0.07631906121969223,1.7196721425001171,0.0,0.07631906121969223,7,3,1,1,1,1,3,1,1,5,6,5,5,1,5,4,4,8,4,1,1,5,9,4,6,2,1,1,6,2,1
