arm,seed,gen,ppf_pred,sigma,h_sens_pop,sens_novelty,composite,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
C_full_trust,137,1,5.048914909362793,0.21606382727622986,1.7159029177112104,34.76519775390625,5.838820457458496,5,1,2,7,5,3,6,5,5,1,4,1,5,6,3,3,4,3,1,1,5,1,1,7,6,3,3,4,1,1,6
C_full_trust,42,1,4.9023942947387695,0.25084763765335083,1.7060988414066414,35.355587005615234,5.760461330413818,5,5,8,6,3,4,5,3,1,5,5,5,1,5,2,3,1,9,1,6,7,1,1,4,4,1,1,4,4,1,5
D_warmstart,42,2,4.597607612609863,0.17288729548454285,1.671021798368415,31.7348690032959,5.680230140686035,5,1,5,3,1,8,1,2,1,5,7,1,1,3,4,1,5,4,4,8,1,1,1,1,4,3,1,2,4,1,1
F_cycle_fitness,137,2,4.495988368988037,0.1895560324192047,1.6850608522610226,29.67059898376465,5.476828098297119,2,1,5,1,3,1,1,6,1,5,5,1,6,6,1,1,3,4,9,3,4,1,1,1,1,5,1,4,1,1,1
B_quantum,42,2,4.96594762802124,0.20522922277450562,2.1163700915828474,35.80783462524414,5.2681379318237305,6,1,5,5,1,7,1,6,1,5,4,1,7,3,5,1,7,7,3,3,7,1,1,1,3,7,1,7,6,1,1
D_warmstart,137,2,4.327849864959717,0.17558610439300537,1.7159970132980593,29.030494689941406,5.152617454528809,5,1,1,1,3,8,1,3,1,5,5,1,1,4,7,1,3,1,1,4,6,1,1,1,4,5,1,8,5,1,1
C_full_trust,42,3,5.22674560546875,0.2396658957004547,1.6423641787046575,31.372724533081055,4.954709529876709,1,5,2,6,4,1,1,1,5,1,3,5,1,1,1,1,5,2,7,1,1,1,4,6,1,1,5,4,4,1,3
F_cycle_fitness,271,3,4.363102912902832,0.18439516425132751,1.7115776812973391,28.44110107421875,4.801015853881836,5,1,5,5,1,3,1,9,1,5,5,1,5,1,1,1,1,9,3,1,5,1,1,1,3,1,1,6,4,1,1
F_cycle_fitness,42,2,3.4669597148895264,0.1522512286901474,1.6441194980710725,30.593355178833008,4.637989521026611,6,1,5,3,4,5,1,6,1,6,6,1,5,1,5,1,1,3,5,5,7,1,1,1,9,1,1,4,1,1,1
D_warmstart,137,3,3.501500368118286,0.15455283224582672,1.6876217534434712,29.63457489013672,4.578473091125488,5,1,4,3,4,1,1,6,1,5,5,1,6,7,6,1,4,1,7,5,1,1,1,1,1,1,1,5,4,1,1
C_full_trust,271,3,5.204648017883301,0.1967926323413849,1.7136953953166596,37.82025146484375,4.528981685638428,5,1,6,1,4,1,5,1,5,5,4,2,1,3,1,8,3,5,1,2,1,3,6,2,2,9,1,4,9,5,6
C_full_trust,42,2,5.834748268127441,0.25069889426231384,1.6793703953295855,33.00547790527344,4.340636253356934,1,5,2,6,4,1,7,1,5,4,3,4,6,1,4,1,1,2,1,5,1,1,1,1,1,3,5,4,6,4,3
C_full_trust,271,2,5.074069499969482,0.17020240426063538,1.7246089000711857,36.6700325012207,4.196154594421387,5,5,6,4,6,5,6,3,1,6,4,1,9,1,1,5,7,5,1,1,1,9,5,4,3,4,6,6,1,1,1
B_quantum,137,2,4.832283020019531,0.1571265161037445,2.1415128253700155,36.87239074707031,3.995134115219116,5,1,6,2,4,4,1,2,1,2,4,1,1,8,7,1,8,3,3,9,4,1,1,1,2,1,1,8,3,1,1
F_cycle_fitness,42,1,3.802767515182495,0.14057622849941254,1.6971515090836724,31.089670181274414,3.9768714904785156,6,1,6,3,3,3,1,1,1,5,8,1,1,9,1,1,2,1,3,5,1,1,1,1,7,4,1,5,4,1,1
F_cycle_fitness,137,3,4.780587673187256,0.14502112567424774,1.7203242643138337,29.999813079833984,3.976304769515991,2,1,5,3,3,4,1,6,1,5,3,1,3,1,1,1,3,9,4,1,4,1,1,1,1,3,1,5,2,1,1
D_warmstart,271,1,2.8633663654327393,0.15102523565292358,1.6786982029179507,29.230751037597656,3.905397415161133,1,1,4,1,1,1,1,5,1,5,9,1,1,5,1,1,4,7,8,5,6,1,1,1,3,6,1,4,5,1,1
C_full_trust,137,2,4.261058807373047,0.1549237221479416,1.6963462715169906,38.147945404052734,3.9028408527374268,5,1,2,1,3,4,2,1,7,5,4,3,5,7,5,4,3,9,1,1,3,1,1,1,2,3,8,4,8,3,5
C_full_trust,42,3,4.119336128234863,0.1858830600976944,1.6423641787046575,35.78425598144531,3.8832004070281982,5,5,3,3,1,4,4,3,1,4,1,4,1,5,6,4,4,3,3,6,1,4,2,5,5,1,4,9,6,6,1
D_warmstart,42,3,3.1567187309265137,0.13532300293445587,1.643370518929351,27.26384162902832,3.8082878589630127,5,1,3,5,3,9,1,5,1,3,3,1,3,5,4,1,1,1,3,5,1,1,1,1,1,6,1,1,1,1,1
B_quantum,42,3,4.187531471252441,0.13857752084732056,2.130947430274064,38.05359649658203,3.77569317817688,2,1,8,8,1,4,1,6,1,5,7,1,9,8,2,1,3,1,4,7,2,1,1,1,8,5,1,8,4,1,1
A_baseline,137,1,4.0199384689331055,0.1478116363286972,1.6986961595053849,27.88614273071289,3.760828733444214,2,1,1,1,4,5,1,6,1,5,4,1,1,3,5,1,1,4,1,5,5,1,1,1,7,8,1,1,5,1,1
A_baseline,42,3,3.5362954139709473,0.14466236531734467,1.6477796934161912,26.477222442626953,3.7582077980041504,5,1,6,1,4,4,1,1,1,4,4,1,4,4,2,1,1,1,6,5,3,1,1,1,4,1,1,1,1,1,1
A_baseline,271,1,3.649698257446289,0.158671572804451,1.7028626883948244,27.660654067993164,3.7534210681915283,5,1,6,4,1,4,1,5,1,1,1,1,1,4,1,1,1,1,3,2,5,1,1,1,5,4,1,2,7,1,1
F_cycle_fitness,42,2,2.199258327484131,0.14347343146800995,1.6441194980710725,27.766817092895508,3.732006788253784,3,1,1,1,4,1,1,5,1,3,1,1,4,3,8,1,3,4,1,7,4,1,1,1,8,1,1,4,5,1,1
D_warmstart,42,3,4.498738765716553,0.12666742503643036,1.643370518929351,29.055578231811523,3.7054061889648438,5,1,2,1,2,4,1,1,1,1,1,1,4,1,2,1,3,4,8,1,1,1,1,1,3,6,1,5,9,1,1
A_baseline,271,3,3.8268978595733643,0.15909022092819214,1.7318923663245391,28.0313720703125,3.6868605613708496,4,1,5,5,1,3,1,2,1,5,5,1,5,1,1,1,1,9,4,1,5,1,1,1,3,4,1,6,1,1,1
D_warmstart,271,2,3.7202987670898438,0.13778655230998993,1.6946379261377278,26.935142517089844,3.5970029830932617,5,1,4,3,1,1,1,5,1,6,1,1,4,3,1,1,1,1,1,7,6,1,1,1,1,1,1,6,5,1,1
A_baseline,137,2,3.862895965576172,0.1380869597196579,1.693519910712289,26.72408103942871,3.5890636444091797,1,1,5,1,9,1,1,3,1,5,5,1,5,6,1,1,3,4,1,3,4,1,1,1,1,4,1,1,5,1,1
D_warmstart,137,3,3.908174991607666,0.1286119967699051,1.6876217534434712,30.839094161987305,3.553966999053955,5,1,4,4,1,3,1,4,1,5,4,1,3,3,5,1,1,1,2,5,2,1,1,1,7,3,1,7,6,1,1
D_warmstart,271,1,4.515318870544434,0.14599476754665375,1.6786982029179507,27.965404510498047,3.437626838684082,5,1,5,4,1,1,1,5,1,6,1,1,5,3,4,1,1,1,1,7,6,1,1,1,8,1,1,4,5,1,1
F_cycle_fitness,42,3,3.7128233909606934,0.14594165980815887,1.6820811204366448,28.338930130004883,3.382153272628784,6,1,5,1,1,5,1,6,1,6,6,1,5,1,5,1,3,3,5,1,1,1,1,1,9,1,1,4,1,1,1
D_warmstart,137,2,2.8060173988342285,0.1262313723564148,1.7159970132980593,31.629425048828125,3.333739757537842,1,1,4,9,4,5,1,1,1,5,5,1,5,7,1,1,3,7,7,2,1,1,1,1,9,1,1,5,6,1,1
A_baseline,137,2,3.766143321990967,0.1274113655090332,1.693519910712289,28.199419021606445,3.30887770652771,1,1,5,6,5,4,1,4,1,5,3,1,1,5,5,1,1,8,5,2,4,1,1,1,1,6,1,1,1,1,1
C_full_trust,271,1,5.047318935394287,0.15630872547626495,1.6965083989669192,34.92673110961914,3.3076725006103516,1,6,5,2,1,1,1,1,5,5,8,5,5,3,6,1,4,1,1,5,4,3,4,3,1,3,8,1,4,1,7
B_quantum,137,3,4.644421100616455,0.13944219052791595,2.125885561412913,36.644622802734375,3.302095651626587,5,1,2,2,4,7,1,9,1,2,3,1,4,1,4,1,3,7,4,7,4,1,1,1,6,9,1,3,8,1,1
D_warmstart,137,1,4.394005298614502,0.13488304615020752,1.727322541073141,27.757469177246094,3.293026924133301,5,1,8,5,1,1,1,1,1,5,4,1,3,2,4,1,1,3,6,4,1,1,1,1,1,5,1,1,4,1,1
F_cycle_fitness,271,1,2.8800365924835205,0.11369889229536057,1.7170714020560198,31.362749099731445,3.2689437866210938,1,1,1,4,8,4,1,1,1,6,9,1,3,8,5,1,8,1,3,3,5,1,1,1,3,1,1,8,1,1,1
D_warmstart,137,1,3.338629961013794,0.12399757653474808,1.727322541073141,30.054035186767578,3.2626218795776367,1,1,6,1,1,1,1,1,1,7,1,1,4,1,5,1,9,4,4,7,6,1,1,1,4,5,1,8,3,1,1
C_full_trust,42,2,4.603842735290527,0.20233899354934692,1.6793703953295855,34.08370590209961,3.2546467781066895,5,5,8,3,1,4,5,3,1,4,1,8,1,5,6,4,4,3,1,6,1,1,1,5,5,2,4,4,6,1,1
B_quantum,137,1,3.931306838989258,0.14183063805103302,2.1253783346720634,39.34432601928711,3.2437610626220703,2,1,2,9,3,3,1,5,1,2,7,1,9,7,4,1,3,3,9,7,6,1,1,1,4,3,1,6,6,1,1
C_full_trust,271,2,4.361035346984863,0.1322956681251526,1.7246089000711857,40.411441802978516,3.235219955444336,8,5,5,4,6,3,3,1,4,5,1,1,7,6,5,9,8,1,3,3,5,6,3,1,2,3,5,3,4,6,9
C_full_trust,137,2,3.338655471801758,0.14693555235862732,1.6963462715169906,35.32408905029297,3.1961841583251953,5,5,4,1,3,5,9,5,9,4,2,1,3,1,7,1,3,1,1,1,4,1,5,4,1,1,1,5,8,7,5
A_baseline,271,2,2.6853036880493164,0.110019750893116,1.7051794436027286,31.242698669433594,3.189016342163086,5,1,7,3,1,1,1,1,1,3,7,1,1,2,4,1,4,6,1,1,4,1,1,1,3,5,1,2,2,1,1
