arm,seed,best_ppf,best_cycle,best_sigma,best_fitness,time_s,n_al,div_final
A_baseline,42,1.847588300704956,313.6275939941406,0.056825291365385056,,241.1670219898224,50,1.0
A_baseline,137,1.8366308212280273,308.9031677246094,0.05633588507771492,,235.05825304985046,50,1.0
A_baseline,271,1.8443342447280884,306.0949401855469,0.07508773356676102,,229.09791707992554,50,1.0
B_quantum,42,1.7595466375350952,324.62152099609375,0.06522700935602188,,242.12168502807617,50,1.0
B_quantum,137,1.7745510339736938,324.7535400390625,0.0769074559211731,,228.00381112098694,50,1.0
B_quantum,271,1.7754713296890259,313.9264831542969,0.06915128976106644,,241.8031120300293,50,1.0
C_full_trust,42,1.8309593200683594,294.998779296875,0.04692305251955986,,223.9210708141327,50,1.0
C_full_trust,137,1.8231351375579834,319.4346008300781,0.052901070564985275,,225.34423398971558,50,1.0
C_full_trust,271,1.7944685220718384,309.61859130859375,0.05183536931872368,,226.14386200904846,50,1.0
D_warmstart,42,1.7909014225006104,299.07086181640625,0.056955233216285706,,212.19538712501526,50,1.0
D_warmstart,137,1.805974006652832,318.011962890625,0.05776248872280121,,223.96221113204956,50,1.0
D_warmstart,271,1.8580535650253296,308.1958312988281,0.05500800162553787,,215.15013813972473,50,1.0
F_cycle_fitness,42,1.905954360961914,344.1531982421875,0.0617992989718914,330.2454833984375,241.29476404190063,50,1.0
F_cycle_fitness,137,2.217803478240967,347.39312744140625,0.08294866979122162,330.76837158203125,238.83895182609558,50,1.0
F_cycle_fitness,271,1.9554868936538696,342.2476501464844,0.060828667134046555,328.08160400390625,217.7343831062317,50,1.0
