source,seed,ppf_pred,pos_0_type,pos_0_shap,pos_1_type,pos_1_shap,pos_2_type,pos_2_shap,pos_3_type,pos_3_shap,pos_4_type,pos_4_shap,pos_5_type,pos_5_shap,pos_6_type,pos_6_shap,pos_7_type,pos_7_shap,pos_8_type,pos_8_shap,pos_9_type,pos_9_shap,pos_10_type,pos_10_shap,pos_11_type,pos_11_shap,pos_12_type,pos_12_shap,pos_13_type,pos_13_shap,pos_14_type,pos_14_shap,pos_15_type,pos_15_shap,pos_16_type,pos_16_shap,pos_17_type,pos_17_shap,pos_18_type,pos_18_shap,pos_19_type,pos_19_shap,pos_20_type,pos_20_shap,pos_21_type,pos_21_shap,pos_22_type,pos_22_shap,pos_23_type,pos_23_shap,pos_24_type,pos_24_shap,pos_25_type,pos_25_shap,pos_26_type,pos_26_shap,pos_27_type,pos_27_shap,pos_28_type,pos_28_shap,pos_29_type,pos_29_shap,pos_30_type,pos_30_shap
qica_best,42,1.8156609535217285,8,-0.1042537024955589,9,-0.34997749488759644,7,-0.07031725535034479,9,-0.06143859723274881,9,0.0,8,0.0,6,0.0,8,0.0,8,-0.13932632139535775,1,-0.09924441768954323,8,0.0,2,0.0,4,0.0,5,-0.11280540220260951,9,0.0,1,0.0,8,0.0,2,0.0,3,0.0,5,-0.10085488290999263,6,0.0,1,0.0,9,0.0,7,0.0,5,-0.07731301150243652,6,0.0,8,0.0,5,-0.08160194880150902,6,0.0,4,0.0,3,0.0
qica_best,137,1.7859151363372803,1,-0.054642625261123796,4,-0.5027834140747799,7,0.0,4,-0.09005943313323073,4,0.0,3,0.0,1,0.0,9,-0.03961636623261818,3,-0.19053159244490267,6,0.0,3,-0.046546630030245145,4,0.0,7,0.0,6,-0.09470468589207096,7,0.0,8,0.0,3,-0.03207188246025616,6,-0.05313428071411884,4,0.0,5,-0.1227879414087995,2,0.0,7,0.0,7,0.0,1,0.0,6,0.0,8,0.0,3,0.0,7,0.0,7,0.0,3,0.0,9,0.0
qica_best,271,1.7241971492767334,9,-0.13286664177689544,9,-0.3218253676097513,8,-0.0616207277106493,4,-0.08601499358044402,7,0.0,4,0.0,6,0.0,6,0.0,4,-0.2266584762731235,1,-0.09500662810151705,6,0.0,9,0.0,3,0.0,5,-0.10568300815779645,7,0.0,3,-0.07826160933283952,1,0.0,4,0.0,1,0.0,5,-0.10563293191223884,1,0.0,1,0.0,9,0.0,2,0.0,5,-0.0750264542574373,9,0.0,6,0.0,1,0.0,6,0.0,9,0.0,1,0.0
qica_best,509,1.7511632442474365,4,-0.2277450726798605,8,-0.3224442838277995,6,0.0,3,-0.032036438179015844,7,0.0,4,0.0,9,0.0,6,0.0,1,-0.06125399598838494,4,-0.33471337245170024,7,0.0,3,0.0,7,0.0,5,-0.1298548158478993,6,-0.020668209177200067,7,0.0,1,0.0,9,0.0,8,0.0,1,0.0,6,0.0,1,0.0,7,0.0,6,-0.08554919972353274,5,0.0,4,0.0,1,0.0,2,-0.02652369526024545,6,0.0,9,0.0,1,-0.020841660606350898
qica_best,1023,1.7977957725524902,7,-0.06700214386733827,4,-0.4331522433872297,4,-0.18843599792731117,1,0.0,1,-0.03625463379807076,9,0.0,6,0.0,1,0.0,3,-0.16884249469775045,1,-0.09490834478526118,8,0.0,3,0.0,3,0.0,3,0.0,8,0.0,2,0.0,4,-0.05572510909668715,3,0.0,6,-0.06525326231046505,2,0.0,6,0.0,4,0.0,8,0.0,1,0.0,5,-0.06291616921459077,6,0.0,6,0.0,2,-0.04250781635223122,4,0.0,9,0.0,3,0.0
al_candidate,42,6.137351036071777,6,0.23537847409652377,5,1.6519483969245445,9,0.0,7,0.0,2,0.0,3,0.0,3,0.0,3,0.0,2,0.731310805895759,2,0.0,8,0.0,9,0.10439677694571683,2,0.0,8,0.0,3,0.0,5,0.05448065359007792,3,0.08766075296691982,3,0.06267641425896192,4,0.07578609077258207,6,0.0,4,0.0,7,0.0,1,0.06505238910707259,5,0.0,2,0.0,1,0.0,3,0.0,1,0.0,7,0.0,5,0.055866293524192534,6,0.0
al_candidate,509,6.110128879547119,6,0.27573048374729453,5,1.8254869742339093,8,0.0,2,0.042304209004727616,6,0.0,8,0.0,2,0.0,3,0.0,2,0.7928347573825119,1,0.0,9,0.0,8,0.0,4,0.10953041311106868,9,0.04641412783769945,7,0.0,9,0.0,8,0.0,4,0.07767366723385338,5,-0.24510501151501085,9,0.049305948868719335,4,0.0,8,0.0,3,0.12315932165291965,4,0.0,8,0.0,2,0.0,9,0.0,5,0.0,8,0.0,4,0.0,6,0.0
al_candidate,137,5.5898332595825195,5,0.67280330172105,6,0.6993686233199298,3,-0.1677876189321459,9,0.0,1,0.0,7,0.0,8,0.0,6,0.025708891884765713,5,1.1396952297565703,6,0.1721552603608961,5,-0.19515101545871216,3,0.11725703403055127,8,0.0,4,0.0,9,0.0,9,0.0,7,0.0,7,0.0,1,0.0,3,0.0,6,0.0439654088021758,6,0.0,6,0.0,1,0.0,3,0.0,7,0.0,2,0.0,3,0.06902415610801271,5,0.0,1,0.0,1,0.0
al_candidate,509,5.201944351196289,6,0.032291550743409225,5,1.3233871400142434,2,0.23614024831340297,8,0.0,9,0.0,9,0.0,7,0.0,5,0.0,3,0.0,2,0.18969799609649501,7,0.0,6,0.0,5,0.0,7,0.0,5,0.11382879587027427,6,0.0,6,0.0,7,0.0,3,0.02050718316012003,3,0.0,6,0.010815020555265953,2,0.0,4,0.1289738473315216,7,0.0,3,0.0,5,0.0385329602161016,5,0.0,6,0.0,2,0.0,8,0.0,5,0.09497562090602844
al_candidate,509,5.691500186920166,2,0.2074507896922612,5,1.540197239569562,5,0.4835846812020337,8,0.0,5,0.0,6,0.0,2,0.0,3,0.0,7,0.0,2,0.21105561428301878,6,0.0,9,0.0,7,0.0,3,0.10995074946620532,7,0.0,8,0.0,9,0.08804531983334307,3,0.09812424703556787,5,-0.21280209987343668,1,0.0,5,0.06845978030790484,1,0.0,9,0.0,4,0.08463987741428006,2,0.0,2,0.0,9,0.0,8,0.0,9,0.0,4,0.0,6,0.0
al_candidate,137,4.8726301193237305,2,0.297064241275161,5,1.7777908027350537,3,-0.23481018128384573,9,0.0,4,0.0,8,0.0,8,0.0,7,0.0,7,-0.09160500952918588,4,-0.4076372512377181,8,0.0,8,0.0,4,0.15311791585056744,8,0.04126591396799806,9,0.0,9,0.0,7,0.0,7,0.0,4,0.1111468282810247,9,0.039054849723744636,9,0.0,3,0.0,4,0.17444802155150438,1,0.0,1,0.0,6,0.0,3,0.0,1,0.0,1,0.0,4,0.0,2,0.0
al_candidate,1023,6.084043502807617,5,0.6851401544309654,5,1.6198659402193958,9,-0.24662487395677465,6,0.0,9,0.0,6,0.0,6,0.0,5,0.10240447722646792,6,0.6084363590715028,2,0.2071890161396158,5,-0.23752833679068744,9,0.10183231574078967,3,0.0,4,0.0,3,0.0,7,0.0,4,0.1838009040709405,7,0.0,6,0.0,4,0.0,7,0.04673355866597495,1,0.0,6,0.0,1,0.0,9,0.0,4,0.0,7,0.0,3,0.0,3,0.0,6,0.0,9,0.0
al_candidate,509,5.335792541503906,5,0.8464069683748986,5,1.738857616601388,3,-0.19312018537097883,4,0.0,9,0.0,1,0.0,8,0.0,1,0.0,2,0.6529849271121245,4,-0.2688594855322633,8,0.0,1,0.0,7,0.0,7,0.0,9,0.0,7,0.0,7,0.0,1,0.0,4,0.0,7,0.0,5,0.0,2,0.0,5,-0.3243186212246541,9,0.0,3,0.0,4,-0.05394060400188881,5,-0.10924600612324153,6,-0.06922703518641696,2,0.0,1,0.0,5,0.1034609788655132
al_candidate,509,6.022548198699951,2,0.31825584450557454,5,1.8103804896970335,9,-0.2872991932420602,2,0.042984252565188404,9,0.0,8,0.0,3,0.0,7,0.0,2,0.7356879698634233,2,0.22589360425128485,7,0.0,3,0.0,7,0.0,4,0.04983755627767921,9,0.0,9,0.0,7,0.023485849084713184,3,0.0,6,0.0,2,0.0,1,0.0,9,0.0,7,0.0,5,0.0,3,0.0,2,0.0,3,0.045237551895058535,4,0.045290285812629824,4,0.0,6,0.0,8,0.0
al_candidate,137,5.81027364730835,1,0.0,5,1.792754938107937,2,0.22422029780379552,1,0.0,9,0.0,6,0.0,7,0.0,9,0.0,2,0.7287221169422219,7,0.0,1,0.0,7,0.0,4,0.07794513513575055,6,0.0,9,0.0,4,0.0,7,0.05204161025309498,8,0.0,1,0.016020448576831596,2,0.0,4,0.0,4,0.05213452796422839,7,0.06627454683420497,5,-0.29148502893424677,4,0.0,5,0.07885106663510486,4,0.0,6,0.0,6,0.0,4,0.0,7,0.0
al_candidate,1023,5.843667030334473,5,0.528646190135069,5,1.3568205639685667,5,0.3737199220873121,8,0.0,8,0.0,2,0.0,4,0.0,1,0.0,6,0.5215593836338434,5,0.24073427001909026,6,0.0,4,0.07835014491251914,7,0.0,6,0.0,3,0.0,5,0.0,2,-0.18317823502443709,5,-0.3308680503943365,6,0.0,3,0.0,7,0.040622515248503195,2,0.0,4,0.20446633775891543,2,0.0,5,0.0,6,0.0,1,0.0,9,0.0,3,0.0,7,0.0,7,0.0
al_candidate,137,4.852186679840088,8,-0.416205260593451,2,0.6884935113772986,5,0.6460892917961752,3,0.0,6,0.0,1,0.0,4,0.0,7,0.0,5,1.2782316403968916,9,-0.3066716680546138,4,0.0,4,0.16717680174986527,3,0.0,2,-0.12142986570791969,1,0.0,3,-0.06419739571548799,7,0.0,6,-0.155984505724168,8,0.0,7,0.0,3,0.0,8,0.0,9,0.12389014232607176,7,0.0,3,0.0,9,0.0,8,0.0,8,0.0,4,0.0,8,0.0,9,0.0
al_candidate,271,4.825761318206787,5,0.579634940501388,2,0.7284768799946825,4,-0.3110042366617771,6,0.0,8,0.0,1,0.0,8,0.0,9,0.0,5,1.0574739956978987,6,0.24239072818893567,2,0.0,7,0.0,1,0.0,3,0.0,1,0.0,9,0.0,2,-0.14548884652949937,5,-0.2830820605914095,1,0.0,2,0.0,3,0.0,6,-0.06331819866397126,1,0.10684183036404263,2,-0.09895770208292921,7,0.0,6,0.0,9,0.0,2,0.0,6,0.0,9,0.0,5,0.0
al_candidate,1023,6.669442653656006,5,0.7776534564409308,5,1.9052843691161712,8,0.0,7,0.0,9,0.0,8,0.0,6,0.0,1,0.0,1,0.0,2,0.25616061824238767,1,0.0,1,0.0,9,0.09502105018125508,3,0.0,5,0.10231488965184443,4,0.0,4,0.12285784886325715,1,0.0,1,0.0,1,0.0,2,0.0,9,0.0,1,0.10614061820994578,3,0.0,2,0.0,3,0.0,5,0.0,4,0.11720231892596857,6,0.0,6,0.0783386001733206,2,0.09567489586149923
al_candidate,1023,6.279498100280762,2,0.2911480543686087,5,1.6158349365558309,8,0.0,8,0.0,5,0.0,1,0.0,7,0.0,1,0.0,6,0.6128829376624546,5,0.3836013428038854,4,0.08606420939454386,1,0.0,1,0.0,6,0.0,6,0.02290971053423263,2,0.0,3,0.0,3,0.06959118888928026,5,0.0,9,0.07599255689351235,3,0.0,3,0.0,8,0.0,1,0.06264851636249798,3,0.0,5,0.046030658826489254,2,0.0,4,0.0,3,0.0,8,0.0,8,0.0
al_candidate,137,4.712041854858398,6,0.22967233444577528,2,0.7904148254866951,4,-0.3265490375291976,5,0.0,6,0.0,3,0.0,3,0.0,2,0.12514756088692924,5,1.2672116593116753,6,0.299704530733938,9,0.0,3,0.08437440879970609,1,0.0,3,0.0,9,0.0,9,0.0,4,0.0,8,0.0,5,-0.2422578402219347,3,0.0,8,0.0,8,0.0,5,-0.29948458477337964,2,0.0,7,0.0,6,0.0,7,0.0,5,-0.22898599027123456,9,0.0,6,0.0,8,0.0
al_candidate,42,4.5557451248168945,2,0.26509168404939554,5,1.5977366747964428,7,0.0,9,0.0,9,0.0,6,0.0,9,0.0,5,0.059453810234012985,1,0.0,9,-0.33611712555289125,1,0.0,3,0.0490667783544486,1,0.0,5,-0.26308536887958406,5,0.0,6,0.11639301340979985,1,0.0,1,0.0,3,0.0619752220317977,1,0.0,1,0.0,4,0.0,9,0.07213694284020768,7,0.0,4,0.0,3,0.0,8,0.0,7,0.0,8,0.0,9,-0.07970049445616145,1,0.0
al_candidate,137,5.739354610443115,6,0.18705645996822812,5,1.664561212098634,9,-0.2275286093282666,4,0.0,3,0.007096126731001369,9,0.0,6,0.0,1,0.0,2,0.72919366743112,2,0.278046386896862,7,0.0,9,0.05335145016362164,7,0.0,8,0.0,1,0.0,7,0.0,1,0.0,7,0.0,7,0.0,4,0.06553271029906248,7,0.0,2,0.0,1,0.0,2,-0.11361108371212923,8,0.0,9,0.0,2,0.0,2,0.0,3,0.0,4,0.0,6,0.08286230190555582
al_candidate,271,4.711038589477539,7,-0.30386337262874424,5,1.5004673973106468,4,-0.3854410573608572,4,-0.0560890107296095,7,0.0,6,0.0,6,0.0,6,0.0,5,1.2248892286991155,4,-0.40060010742617935,9,0.0,9,0.0,8,0.0,8,0.06162611732935264,2,0.0,8,0.0,2,0.0,1,0.0,8,0.0,2,-0.07198332011878306,9,0.0,5,0.0,7,0.0,4,0.08588769936688334,9,0.04335102704628807,7,0.0,4,0.0,7,0.0,9,0.0,1,0.0,7,0.0
al_candidate,271,3.147404909133911,2,0.2607481162851614,5,1.264278946836186,4,-0.36481225651898597,1,0.0,7,0.0,7,0.0,4,0.0,8,0.0,4,-0.7000373742109515,9,-0.3185690334686145,9,0.0,3,0.0,6,-0.18107515708374097,3,0.0,1,0.0,8,0.0,7,0.0,3,0.0930632139219119,7,0.0,7,0.0,1,0.0,7,0.0,4,0.20135226306481369,2,-0.06588544359673561,2,-0.0544523540845594,2,0.0,6,0.0,8,0.0,2,0.0,4,0.0,8,0.0
al_candidate,509,4.988652229309082,2,0.22224237418103562,6,0.7033707614126974,2,0.2336119629568707,8,0.0,7,0.0,3,0.0,4,0.0,9,0.0,5,1.2056387947592981,7,0.0,1,0.0,1,0.0,5,-0.2948103807883395,1,0.0,3,0.0,3,0.0,9,0.12420535681707659,5,-0.3939665948891853,1,0.045772360504438,8,0.052262509159422925,3,0.0,9,0.0,6,0.0,4,0.0,8,0.0,6,0.07753109720634102,7,0.0,6,0.0,3,0.0,5,0.0,7,0.0
