seed,gen,ppf_pred,sigma,h_sens_pop,sens_novelty,composite,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
42,1,2.3178870677948,0.07566904276609421,1.7290576565932338,35.22806930541992,0.5751252770423889,4,3,5,4,1,1,1,3,2,3,4,4,5,1,5,1,7,4,3,1,1,7,4,1,3,2,5,5,1,1,9
42,1,4.682283401489258,0.18702726066112518,1.7290576565932338,34.21318054199219,4.559676647186279,5,1,5,4,3,1,5,8,7,5,1,1,4,1,1,1,4,8,6,4,1,1,1,6,4,5,6,7,5,4,1
42,1,3.216282844543457,0.08095870167016983,1.7290576565932338,36.21429443359375,0.9645718336105347,3,1,5,5,5,5,3,7,1,2,1,5,1,1,3,1,4,5,2,4,5,1,3,9,1,5,8,6,5,6,1
42,1,2.1586122512817383,0.10350953042507172,1.7290576565932338,32.237281799316406,1.041643500328064,7,1,1,1,1,2,1,5,8,4,3,4,5,1,6,3,4,1,5,1,5,6,1,4,1,4,1,4,5,1,4
42,1,2.065072536468506,0.08196008950471878,1.7290576565932338,33.95833969116211,0.5656148195266724,3,1,3,5,4,1,6,3,1,4,4,3,1,1,5,1,1,8,4,8,4,1,7,9,4,1,5,4,7,1,5
42,1,3.0414693355560303,0.08345441520214081,1.7290576565932338,32.02652359008789,0.247889906167984,4,3,5,1,1,7,1,9,1,1,1,1,5,1,1,5,8,3,4,1,6,7,9,1,1,3,5,1,4,1,1
42,1,2.3483235836029053,0.08206199109554291,1.7290576565932338,36.30018997192383,1.0226166248321533,3,2,1,1,3,1,4,1,5,3,4,5,5,1,7,3,7,1,5,1,1,1,6,6,3,7,1,6,9,1,3
42,1,2.150294303894043,0.08146817237138748,1.7290576565932338,33.90013122558594,0.535881757736206,8,1,3,1,9,1,5,5,4,1,3,6,2,4,4,1,7,3,3,3,5,1,3,1,5,4,1,4,5,1,1
42,1,3.7091565132141113,0.09324008971452713,1.7290576565932338,34.84601974487305,1.1608991622924805,5,6,1,4,3,2,1,1,1,3,3,5,4,3,4,6,7,1,1,3,3,5,1,1,4,3,3,3,3,5,9
42,1,2.0664594173431396,0.06616771966218948,1.7290576565932338,37.88614273071289,0.7327669262886047,5,4,1,1,4,5,3,5,9,1,1,5,4,1,3,4,2,7,9,1,4,4,4,5,5,7,3,8,6,6,3
42,1,5.099919319152832,0.20527608692646027,1.7290576565932338,33.6587028503418,5.137531280517578,5,5,4,7,4,1,1,4,7,4,3,4,4,7,5,4,1,3,1,1,1,1,4,3,1,3,3,1,1,1,9
42,1,2.910278558731079,0.1086232140660286,1.7290576565932338,30.764490127563477,0.948634147644043,1,1,1,1,7,5,9,3,5,4,6,1,4,3,1,3,3,1,3,5,1,1,1,6,3,5,1,5,1,4,1
42,1,2.664351224899292,0.08177431672811508,1.7290576565932338,35.97660827636719,0.9491989612579346,4,9,1,1,4,1,1,8,4,1,1,4,1,1,3,5,2,9,1,3,2,6,3,1,3,5,3,3,6,4,7
42,1,3.8661763668060303,0.12155546993017197,1.7290576565932338,33.48477554321289,1.9605833292007446,5,1,6,5,4,6,1,1,7,1,9,3,1,1,4,5,3,1,3,1,3,8,5,4,4,1,1,1,1,5,2
42,1,2.1045899391174316,0.0808468759059906,1.7290576565932338,32.66988754272461,0.2744884192943573,7,4,3,5,6,5,1,1,4,4,3,1,1,1,5,1,3,4,1,6,5,8,1,5,1,1,4,5,5,1,4
42,1,2.0631043910980225,0.082574263215065,1.7290576565932338,35.92705154418945,0.969643235206604,8,8,1,1,4,5,4,5,9,3,1,4,2,3,4,1,7,1,5,3,3,1,1,5,1,3,5,1,4,6,1
42,1,2.965794324874878,0.07229937613010406,1.7290576565932338,36.341312408447266,0.6640369296073914,1,4,2,1,1,3,1,4,1,1,4,1,1,9,5,2,5,4,9,4,2,3,1,7,3,5,1,9,8,1,9
42,1,2.371431589126587,0.08345960825681686,1.7290576565932338,35.702945709228516,0.9595163464546204,4,6,1,5,4,6,5,4,3,3,1,4,4,1,1,1,4,1,6,6,1,2,1,9,6,5,7,4,8,4,1
42,1,3.733473777770996,0.12105490267276764,1.7290576565932338,31.79344940185547,1.6144977807998657,2,1,3,1,1,4,1,8,6,1,4,4,4,4,1,4,1,1,3,1,3,5,3,1,4,5,7,1,1,8,1
42,1,2.7917089462280273,0.1012236550450325,1.7290576565932338,33.5709342956543,1.213897943496704,1,6,1,7,9,2,1,5,3,1,1,1,1,4,1,1,3,4,4,7,6,4,1,4,5,3,5,5,3,3,4
42,1,3.9632372856140137,0.10574601590633392,1.7290576565932338,38.92380905151367,2.419534921646118,8,6,2,1,4,5,6,1,5,8,5,9,1,4,1,1,1,1,4,1,3,1,5,3,3,4,7,8,7,3,3
