seed,gen,ppf_pred,sigma,h_sens_pop,sens_novelty,composite,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
1023,2,7.522462368011475,0.452282577753067,1.733478032423755,33.969764709472656,6.744380474090576,5,5,5,4,4,1,9,1,5,6,1,1,8,4,3,4,4,4,3,1,8,1,1,1,3,1,1,5,5,6,4
509,1,6.361908435821533,0.3204671144485473,1.7331331101210403,32.32750701904297,6.413499355316162,5,6,1,2,1,4,1,1,5,5,1,9,1,1,1,5,3,1,4,1,3,4,3,4,3,6,1,1,1,2,3
271,2,7.117638111114502,0.3202213644981384,1.7224204213974024,33.512691497802734,6.032047271728516,1,5,5,1,4,3,3,4,5,4,4,4,1,1,1,5,4,1,8,4,4,3,1,3,1,4,5,3,6,8,7
314,2,7.265885829925537,0.3186724185943603,1.7437080727008525,32.800987243652344,6.010014533996582,2,5,1,1,1,4,5,6,5,1,3,1,4,1,6,1,4,6,4,3,5,3,4,3,9,5,1,5,1,1,4
137,1,5.663033962249756,0.2542566061019897,1.7403988783445918,36.58932113647461,6.000944137573242,5,5,7,3,4,4,1,4,6,7,1,1,6,1,1,9,4,2,1,1,3,4,4,5,4,1,3,1,7,4,1
137,2,5.961421489715576,0.2561225891113281,1.718798034992829,34.84487533569336,5.893157005310059,5,5,3,3,4,7,1,3,6,7,1,1,6,1,1,9,4,1,1,1,6,4,4,5,4,1,3,4,1,4,1
271,1,6.038342952728272,0.2809273302555084,1.7344811528682678,37.01945114135742,5.860763072967529,5,5,4,6,5,3,3,1,2,5,1,3,4,1,3,3,1,8,1,1,9,1,6,4,1,5,4,2,7,4,1
1023,1,7.518000602722168,0.3266253471374511,1.727950983351282,34.69766998291016,5.637254238128662,5,5,5,4,4,6,9,1,5,6,3,1,8,1,1,4,2,4,3,1,3,1,1,1,3,1,1,3,5,6,4
509,2,5.787935256958008,0.1935648471117019,1.7180390384032482,40.095699310302734,5.500439167022705,1,5,3,6,8,5,4,3,2,1,1,9,3,3,3,8,7,9,4,1,2,1,4,1,8,1,5,7,6,1,5
271,1,6.823974132537842,0.2784948348999023,1.7344811528682678,34.90779495239258,5.396907806396484,1,5,5,3,4,4,3,4,5,4,6,4,4,1,1,5,4,1,3,4,7,3,1,3,1,4,5,3,4,8,7
7,2,5.709455966949463,0.2456990927457809,1.7187458598812662,30.031877517700195,5.337308883666992,1,5,1,9,1,4,3,5,5,4,1,1,1,3,3,4,8,1,1,4,4,4,1,1,1,1,1,5,4,1,5
7,1,5.0387349128723145,0.2382577806711197,1.7442575164428895,35.22145080566406,5.228185176849365,1,6,6,5,5,1,1,5,5,4,9,4,1,1,5,3,5,1,4,1,5,1,3,4,1,9,5,8,1,6,1
2718,2,5.779148101806641,0.2479399144649505,1.7459416259603515,38.2193489074707,5.188738822937012,5,2,2,7,3,1,5,7,6,3,4,1,1,1,1,1,3,6,8,2,1,4,1,4,1,1,3,3,7,4,5
42,1,5.099919319152832,0.2052760869264602,1.7290576565932338,33.6587028503418,5.137531280517578,5,5,4,7,4,1,1,4,7,4,3,4,4,7,5,4,1,3,1,1,1,1,4,3,1,3,3,1,1,1,9
1618,2,5.047999382019043,0.1866827607154846,1.7264585244319757,39.40921401977539,4.987371444702148,1,6,6,2,5,7,4,5,5,7,3,6,5,1,1,1,9,1,8,4,1,8,9,1,1,1,3,1,5,2,1
1023,3,7.133856773376465,0.3108821809291839,1.7068526471749117,29.00294303894043,4.96260929107666,6,5,5,1,4,1,9,3,5,1,1,1,4,4,3,4,1,4,3,1,1,1,1,1,3,1,1,1,5,6,4
314,1,6.561572074890137,0.2322746515274047,1.736347910378991,32.77012634277344,4.794033050537109,2,5,1,1,1,4,5,6,5,1,3,1,6,1,6,1,4,6,4,8,3,3,4,3,9,1,1,1,1,1,4
42,1,4.682283401489258,0.1870272606611251,1.7290576565932338,34.21318054199219,4.559676647186279,5,1,5,4,3,1,5,8,7,5,1,1,4,1,1,1,4,8,6,4,1,1,1,6,4,5,6,7,5,4,1
314,2,5.66551685333252,0.2236130833625793,1.7437080727008525,35.20295333862305,3.9914495944976807,5,5,6,4,6,6,4,3,4,5,1,1,4,6,1,9,4,3,4,5,1,3,1,8,1,5,1,1,4,3,6
1618,1,4.299414157867432,0.1726875305175781,1.755330173318954,38.52489471435547,3.977682590484619,1,6,3,2,5,7,4,5,5,4,8,6,3,1,4,1,3,9,1,4,1,8,9,1,4,4,3,1,5,2,1
509,2,5.153278350830078,0.1675351858139038,1.7180390384032482,36.43377304077149,3.9415745735168457,5,1,3,6,2,1,6,5,5,1,3,1,3,1,1,1,3,7,8,4,2,4,1,3,7,1,7,2,5,5,1
