seed,gen,best_ppf,sigma,h_sens_pop,div,stag,n_al
42,1,1.8016407489776611,0.07108209282159805,1.7290576565932338,1.0,0,24
42,2,1.8016407489776611,0.07108209282159805,1.7120449019615265,1.0,1,48
42,3,1.8016407489776611,0.07108209282159805,1.7131195717209058,1.0,2,50
42,4,1.8016407489776611,0.07108209282159805,1.71395031588685,1.0,3,50
42,5,1.8016407489776611,0.07108209282159805,1.739296154029955,1.0,4,50
42,6,1.8016407489776611,0.07108209282159805,1.7360931912960735,1.0,5,50
42,7,1.8016407489776611,0.07108209282159805,1.7019635729508622,1.0,6,50
42,8,1.8016407489776611,0.07108209282159805,1.7000590481572866,1.0,7,50
42,9,1.8016407489776611,0.07108209282159805,1.7007411062249569,1.0,8,50
42,10,1.8016407489776611,0.07108209282159805,1.6780794372897503,1.0,9,50
42,11,1.8016407489776611,0.07108209282159805,1.6997826310676456,1.0,10,50
42,12,1.8016407489776611,0.07108209282159805,1.7089046389617517,1.0,11,50
42,13,1.8016407489776611,0.07108209282159805,1.6877731918532801,1.0,12,50
42,14,1.8016407489776611,0.07108209282159805,1.6992325959181382,1.0,13,50
42,15,1.8016407489776611,0.07108209282159805,1.6947908376352043,1.0,14,50
42,16,1.8016407489776611,0.07108209282159805,1.7062308010844447,1.0,15,50
42,17,1.8016407489776611,0.07108209282159805,1.7434701840911444,1.0,16,50
42,18,1.8016407489776611,0.07108209282159805,1.715674777027048,1.0,17,50
42,19,1.8016407489776611,0.07108209282159805,1.7065884236543476,1.0,18,50
42,20,1.8016407489776611,0.07108209282159805,1.7154956551742142,1.0,19,50
42,21,1.8016407489776611,0.07108209282159805,1.7042577214241112,1.0,0,50
42,22,1.8016407489776611,0.07108209282159805,1.694178713739653,1.0,1,50
42,23,1.8016407489776611,0.07108209282159805,1.7186603643070908,1.0,2,50
42,24,1.8016407489776611,0.07108209282159805,1.7081897762706808,1.0,3,50
42,25,1.8016407489776611,0.07108209282159805,1.7225067312095679,1.0,4,50
42,26,1.8016407489776611,0.07108209282159805,1.70721505485754,1.0,5,50
42,27,1.8016407489776611,0.07108209282159805,1.689326379702311,1.0,6,50
42,28,1.8016407489776611,0.07108209282159805,1.7024911215426104,1.0,7,50
42,29,1.8016407489776611,0.07108209282159805,1.7205577264271985,1.0,8,50
42,30,1.8016407489776611,0.07108209282159805,1.7025246225262114,1.0,9,50
42,31,1.8016407489776611,0.07108209282159805,1.6923819176827826,1.0,10,50
42,32,1.8016407489776611,0.07108209282159805,1.7025160957984424,1.0,11,50
42,33,1.8016407489776611,0.07108209282159805,1.7026839654743235,1.0,12,50
42,34,1.8016407489776611,0.07108209282159805,1.6918874378041213,1.0,13,50
42,35,1.8016407489776611,0.07108209282159805,1.7003050375405753,1.0,14,50
42,36,1.8016407489776611,0.07108209282159805,1.6952489870368468,1.0,15,50
42,37,1.8016407489776611,0.07108209282159805,1.7121240557579414,1.0,16,50
42,38,1.8016407489776611,0.07108209282159805,1.70620941596809,1.0,17,50
42,39,1.8016407489776611,0.07108209282159805,1.6893258458726979,1.0,18,50
42,40,1.8016407489776611,0.07108209282159805,1.681372806088138,1.0,19,50
42,41,1.8016407489776611,0.07108209282159805,1.7213612921870962,1.0,0,50
42,42,1.8016407489776611,0.07108209282159805,1.6845740559113964,1.0,1,50
42,43,1.8016407489776611,0.07108209282159805,1.7040257164886725,1.0,2,50
