seed,gen,pattern,ppf_pred,sigma,h_sens_pop,sens_novelty,composite,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
42,3,"[5, 5, 4, 3, 4, 1, 3, 6, 5, 3, 3, 4, 6, 1, 1, 1, 4, 4, 1, 3, 3, 4, 1, 3, 5, 6, 4, 6, 2, 4, 1]",7.69649600982666,0.358163446187973,1.6857814920678664,34.756134033203125,6.69055700302124,5,5,4,3,4,1,3,6,5,3,3,4,6,1,1,1,4,4,1,3,3,4,1,3,5,6,4,6,2,4,1
42,2,"[1, 5, 1, 1, 1, 1, 3, 6, 5, 1, 4, 4, 3, 1, 1, 1, 4, 4, 1, 1, 3, 4, 1, 3, 1, 6, 4, 6, 1, 4, 1]",7.0714521408081055,0.32033491134643555,1.6955383907059447,28.529541015625,5.441282272338867,1,5,1,1,1,1,3,6,5,1,4,4,3,1,1,1,4,4,1,1,3,4,1,3,1,6,4,6,1,4,1
42,1,"[1, 5, 9, 1, 1, 1, 3, 6, 5, 1, 3, 4, 3, 3, 1, 1, 4, 2, 1, 1, 1, 4, 1, 3, 1, 1, 4, 1, 1, 4, 1]",6.365138530731201,0.2795218825340271,1.6903256300444942,29.41933250427246,4.702953338623047,1,5,9,1,1,1,3,6,5,1,3,4,3,3,1,1,4,2,1,1,1,4,1,3,1,1,4,1,1,4,1
42,4,"[4, 5, 1, 2, 4, 1, 3, 6, 5, 3, 3, 4, 1, 1, 1, 1, 4, 3, 1, 3, 8, 4, 1, 3, 5, 1, 4, 6, 1, 4, 1]",5.639222621917725,0.21260061860084534,1.6978983759848574,32.70589828491211,4.576176166534424,4,5,1,2,4,1,3,6,5,3,3,4,1,1,1,1,4,3,1,3,8,4,1,3,5,1,4,6,1,4,1
42,4,"[5, 5, 1, 7, 1, 2, 4, 6, 1, 1, 8, 9, 5, 6, 1, 6, 3, 1, 5, 1, 1, 1, 1, 1, 6, 3, 5, 8, 6, 1, 4]",5.327986717224121,0.15824845433235168,1.6978983759848574,35.00832748413086,3.1120338439941406,5,5,1,7,1,2,4,6,1,1,8,9,5,6,1,6,3,1,5,1,1,1,1,1,6,3,5,8,6,1,4
42,3,"[5, 5, 1, 7, 1, 4, 4, 4, 1, 1, 8, 9, 6, 7, 1, 6, 1, 2, 5, 1, 1, 1, 1, 1, 6, 1, 5, 8, 3, 1, 4]",4.603816509246826,0.18193678557872772,1.6857814920678664,34.4921875,2.6389825344085693,5,5,1,7,1,4,4,4,1,1,8,9,6,7,1,6,1,2,5,1,1,1,1,1,6,1,5,8,3,1,4
42,1,"[6, 6, 4, 1, 5, 1, 3, 1, 1, 1, 1, 1, 3, 4, 3, 5, 4, 8, 4, 4, 4, 3, 4, 8, 7, 6, 4, 1, 1, 1, 5]",4.155277252197266,0.15502925217151642,1.6903256300444942,33.23796081542969,2.1915643215179443,6,6,4,1,5,1,3,1,1,1,1,1,3,4,3,5,4,8,4,4,4,3,4,8,7,6,4,1,1,1,5
42,1,"[4, 5, 4, 8, 5, 4, 4, 1, 1, 5, 3, 9, 6, 7, 1, 6, 3, 8, 5, 1, 1, 1, 1, 1, 1, 6, 5, 1, 4, 1, 4]",3.903763771057129,0.1447509378194809,1.6903256300444942,34.25739669799805,2.1312386989593506,4,5,4,8,5,4,4,1,1,5,3,9,6,7,1,6,3,8,5,1,1,1,1,1,1,6,5,1,4,1,4
42,2,"[6, 2, 1, 5, 4, 1, 1, 5, 8, 3, 8, 1, 6, 4, 5, 1, 4, 4, 5, 4, 1, 1, 1, 1, 2, 1, 5, 7, 1, 4, 6]",3.5920512676239014,0.1278735101222992,1.6955383907059447,36.06591796875,1.9700238704681396,6,2,1,5,4,1,1,5,8,3,8,1,6,4,5,1,4,4,5,4,1,1,1,1,2,1,5,7,1,4,6
42,2,"[6, 6, 9, 5, 1, 1, 3, 4, 1, 5, 1, 1, 8, 4, 3, 5, 1, 8, 4, 4, 4, 3, 4, 8, 3, 6, 4, 1, 4, 1, 5]",4.256223678588867,0.12586575746536255,1.6955383907059447,36.20146560668945,1.944199562072754,6,6,9,5,1,1,3,4,1,5,1,1,8,4,3,5,1,8,4,4,4,3,4,8,3,6,4,1,4,1,5
42,4,"[5, 1, 3, 1, 9, 4, 4, 5, 6, 1, 1, 4, 1, 3, 1, 1, 7, 9, 7, 3, 1, 1, 8, 1, 1, 1, 1, 1, 1, 5, 1]",4.656603813171387,0.13594792783260345,1.6978983759848574,31.27650260925293,1.8219645023345947,5,1,3,1,9,4,4,5,6,1,1,4,1,3,1,1,7,9,7,3,1,1,8,1,1,1,1,1,1,5,1
42,4,"[1, 1, 1, 5, 1, 6, 4, 7, 5, 4, 1, 3, 3, 4, 3, 5, 1, 9, 4, 7, 6, 4, 3, 1, 1, 1, 6, 3, 4, 1, 5]",4.378830909729004,0.12264465540647507,1.6978983759848574,33.38679504394531,1.6915969848632812,1,1,1,5,1,6,4,7,5,4,1,3,3,4,3,5,1,9,4,7,6,4,3,1,1,1,6,3,4,1,5
