seed,gen,best_ppf,best_fit,sigma,h_sens_pop,div,stag,n_al_global
42,1,1.969632625579834,329.78851318359375,0.056576039642095566,1.6903256300444942,1.0,0,17
42,2,2.009829044342041,333.9446105957031,0.06809000670909882,1.6955383907059447,1.0,0,33
42,3,2.009829044342041,333.9446105957031,0.06809000670909882,1.6857814920678664,1.0,1,47
42,4,2.85286545753479,336.1376953125,0.07965833693742752,1.6978983759848574,1.0,0,64
42,5,2.85286545753479,336.1376953125,0.07965833693742752,1.6933383520129153,1.0,1,64
42,6,2.85286545753479,336.1376953125,0.07965833693742752,1.7123082399110034,1.0,2,64
42,7,2.85286545753479,336.1376953125,0.07965833693742752,1.6899852431013611,1.0,3,64
42,8,2.85286545753479,336.1376953125,0.07965833693742752,1.6948244914381942,1.0,4,64
42,9,2.85286545753479,336.1376953125,0.07965833693742752,1.6802573460244281,1.0,5,64
42,10,2.85286545753479,336.1376953125,0.07965833693742752,1.681564854837394,1.0,6,64
42,11,2.85286545753479,336.1376953125,0.07965833693742752,1.6873903804268986,1.0,7,64
42,12,2.85286545753479,336.1376953125,0.07965833693742752,1.6949447509050306,1.0,8,64
42,13,2.2088143825531006,337.96026611328125,0.06014882028102875,1.6788353323439718,1.0,0,64
42,14,2.2088143825531006,337.96026611328125,0.06014882028102875,1.6826443813162097,1.0,1,64
42,15,2.2088143825531006,337.96026611328125,0.06014882028102875,1.690141504187109,1.0,2,64
42,16,2.2088143825531006,337.96026611328125,0.06014882028102875,1.6925447787389811,1.0,3,64
42,17,2.2088143825531006,337.96026611328125,0.06014882028102875,1.6937619262585064,1.0,4,64
42,18,2.2088143825531006,337.96026611328125,0.06014882028102875,1.691260389531907,1.0,5,64
42,19,2.2088143825531006,337.96026611328125,0.06014882028102875,1.7303758230377704,1.0,6,64
42,20,2.2088143825531006,337.96026611328125,0.06014882028102875,1.7064574070252319,1.0,7,64
42,21,2.2088143825531006,337.96026611328125,0.06014882028102875,1.7087107234991317,1.0,8,64
42,22,2.2088143825531006,337.96026611328125,0.06014882028102875,1.660793836942678,1.0,9,64
42,23,2.2088143825531006,337.96026611328125,0.06014882028102875,1.6637081624949872,1.0,10,64
42,24,2.2088143825531006,337.96026611328125,0.06014882028102875,1.6617317410704788,1.0,11,64
42,25,2.2088143825531006,337.96026611328125,0.06014882028102875,1.68123920059775,1.0,12,64
42,26,2.2088143825531006,337.96026611328125,0.06014882028102875,1.7056177169845386,1.0,13,64
42,27,2.2088143825531006,337.96026611328125,0.06014882028102875,1.6844461578003163,1.0,14,64
42,28,2.2088143825531006,337.96026611328125,0.06014882028102875,1.6847641671930866,1.0,0,64
42,29,1.942082166671753,338.8206481933594,0.059119656682014465,1.6929090342844006,1.0,0,64
42,30,1.942082166671753,338.8206481933594,0.059119656682014465,1.669940209523171,1.0,1,64
42,31,1.942082166671753,338.8206481933594,0.059119656682014465,1.6878264773220184,1.0,2,64
42,32,1.942082166671753,338.8206481933594,0.059119656682014465,1.6741044731739334,1.0,3,64
42,33,1.942082166671753,338.8206481933594,0.059119656682014465,1.6791314148159069,1.0,4,64
42,34,1.942082166671753,338.8206481933594,0.059119656682014465,1.675119633709949,1.0,5,64
42,35,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6793914047793026,1.0,0,64
42,36,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6928389550666616,1.0,1,64
42,37,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6663877992255758,1.0,2,64
42,38,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6723958651545805,1.0,3,64
42,39,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6726758363702816,1.0,4,64
42,40,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6781188643783658,1.0,5,64
42,41,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6636784182334652,1.0,6,64
42,42,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6913451720655386,1.0,7,64
42,43,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6821924255884646,1.0,8,64
42,44,1.9685698747634888,339.8799133300781,0.04102092981338501,1.699641832262585,1.0,9,64
42,45,1.9685698747634888,339.8799133300781,0.04102092981338501,1.7048061973214321,1.0,10,64
42,46,1.9685698747634888,339.8799133300781,0.04102092981338501,1.7082258101254275,1.0,11,64
42,47,1.9685698747634888,339.8799133300781,0.04102092981338501,1.6910522194638276,1.0,12,64
