source,seed,ppf_pred,shap_base_value,pos_0_type,pos_0_shap,pos_1_type,pos_1_shap,pos_2_type,pos_2_shap,pos_3_type,pos_3_shap,pos_4_type,pos_4_shap,pos_5_type,pos_5_shap,pos_6_type,pos_6_shap,pos_7_type,pos_7_shap,pos_8_type,pos_8_shap,pos_9_type,pos_9_shap,pos_10_type,pos_10_shap,pos_11_type,pos_11_shap,pos_12_type,pos_12_shap,pos_13_type,pos_13_shap,pos_14_type,pos_14_shap,pos_15_type,pos_15_shap,pos_16_type,pos_16_shap,pos_17_type,pos_17_shap,pos_18_type,pos_18_shap,pos_19_type,pos_19_shap,pos_20_type,pos_20_shap,pos_21_type,pos_21_shap,pos_22_type,pos_22_shap,pos_23_type,pos_23_shap,pos_24_type,pos_24_shap,pos_25_type,pos_25_shap,pos_26_type,pos_26_shap,pos_27_type,pos_27_shap,pos_28_type,pos_28_shap,pos_29_type,pos_29_shap,pos_30_type,pos_30_shap
qica_best,42,2.028787612915039,2.806764779488246,1,0.0,3,-0.1710996412758878,1,0.0,1,0.0,2,0.0,9,-0.019536256507647978,5,0.0,1,0.0,3,-0.13221935402547294,9,-0.15977204353858146,7,-0.025939781498577907,4,0.0,1,0.0,5,-0.04222722181167826,9,0.0,1,0.0,5,0.0,7,0.0,5,-0.08098590616701265,5,-0.03596686274906166,9,0.0,1,-0.021007741642960823,8,0.0,5,-0.0892223573563257,4,0.0,1,0.0,4,0.0,1,0.0,5,0.0,1,0.0,1,0.0
qica_best,137,2.098789691925049,2.806764779488246,1,0.0,3,-0.24997134550030023,9,-0.11586992148441262,1,0.0,8,0.0,1,0.0,1,0.0,1,0.0,1,-0.10483123329414751,7,-0.07793811259161748,5,0.15667042969237094,1,0.0,4,0.0,5,-0.09102352855490156,1,0.0,4,-0.07728193045602716,4,0.0,2,0.0,9,0.0,5,-0.05843453187946834,4,0.0,4,-0.00926961413448582,4,0.0,9,0.0,8,0.0,3,0.0,1,0.0,5,-0.08002529936020762,1,0.0,1,0.0,1,0.0
qica_best,271,2.298670768737793,2.806764779488246,1,0.0,3,-0.31277723601883967,1,0.0,1,0.0,5,0.0,1,0.0,4,0.0,1,0.0,1,-0.10734240519779185,5,0.413922163426831,9,-0.06784740677764452,6,0.0,4,0.0,5,0.0,9,0.0,4,-0.10969842078172029,4,0.0,7,0.0,7,0.0,7,0.0,3,0.0,1,-0.026812073228224986,2,-0.08072172178177818,5,-0.12155526700113205,5,0.0,1,0.0,1,0.0,2,-0.06670042406039547,1,-0.028561219329757217,5,0.0,1,0.0
qica_best,509,2.1050150394439697,2.806764779488246,1,0.0,1,-0.08307168175506309,1,-0.025513304560977442,1,0.0,3,-0.016801866866883574,1,0.0,7,0.0,1,0.0,3,-0.3497655698639311,7,-0.06792417366706759,8,0.0,1,0.0,6,-0.06303525305143448,2,-0.04642304077022017,1,0.0,1,0.0,9,-0.029519434540737365,9,0.0,4,0.0,7,0.0,1,0.0,3,0.0,9,0.08826243617971208,5,-0.10795785114767367,4,0.0,1,0.0,3,0.0,3,0.0,2,0.0,1,0.0,4,0.0
qica_best,1023,2.0300581455230713,2.806764779488246,1,0.0,3,-0.17634239663215462,1,0.0,3,0.0,3,0.0,1,0.0,5,0.0,1,0.0,3,-0.15593825025622246,8,-0.06977076475890058,8,0.0,4,0.0,4,0.0,5,-0.07617381589613612,4,0.0,1,0.0,8,-0.038705484509124144,5,0.0,5,-0.0836498644792775,6,0.0,1,0.0,1,-0.04752552218382104,8,-0.03368678691538735,5,-0.0399265891804996,1,0.0,1,0.0,4,-0.054987159153651516,5,0.0,6,0.0,1,0.0,1,0.0
al_candidate,42,7.328192710876465,2.806764779488246,5,1.0835072093060767,5,2.001199151188609,4,0.0,3,0.0,4,0.0,1,0.0,3,0.0,6,0.0,5,1.0225036074959106,3,0.0,3,0.0,4,0.1170936966213012,6,0.0,1,0.0,1,0.0,1,0.0,4,0.0448662667430224,4,0.025108036773863394,1,0.0,3,0.0,3,0.035076799763905514,4,0.08679279148519209,1,0.0,3,0.09480820862544687,5,0.0,6,0.0,4,0.01047216338489143,6,0.0,2,0.0,4,0.0,1,0.0
al_candidate,42,6.977415084838867,2.806764779488246,1,0.2533023047021837,5,1.9857863864394738,1,0.0,1,0.0,1,0.0,1,0.0,3,0.0,6,0.10147548222294206,5,1.1689155075641369,1,0.0,4,0.0,4,0.16589993993530625,3,0.09123785182167897,1,0.0,1,0.0,1,0.0,4,0.10929427456503839,4,0.141228630394008,1,0.0,1,0.0,3,0.0,4,0.07682887354366362,1,0.0,3,0.0,1,0.0,6,0.07668105416218918,4,0.0,6,0.0,1,0.0,4,0.0,1,0.0
al_candidate,42,6.344468116760254,2.806764779488246,1,0.20113328134682154,5,1.764421005892982,9,0.0,1,0.0,1,0.0,1,0.0,3,0.0,6,0.07342428808384348,5,1.1433814816256191,1,0.0,3,0.0,4,0.10874064805675837,3,0.0,3,0.06590507466149653,1,0.0,1,0.0,4,0.09943504776811637,2,0.0,1,0.0,1,0.0,1,0.0,4,0.025709962468432046,1,0.0,3,0.0,1,0.0,1,0.0,4,0.038405798058754034,1,0.0,1,0.0,4,0.0,1,0.017146749309184472
al_candidate,42,5.288486480712891,2.806764779488246,4,-0.37603110877453105,5,1.6168671051561567,1,0.0,2,0.06364272087707956,4,0.0,1,0.0,3,0.0,6,0.081268077718977,5,1.0042508626925624,3,-0.17279522572723446,3,0.0,4,0.1476966636108879,1,0.0,1,0.0,1,0.0,1,0.0,4,0.0,3,0.10379027142899912,1,0.0,3,0.0,8,0.0,4,0.0,1,0.0,3,0.10436521507711168,5,0.0,1,0.0,4,0.0,6,0.0,1,0.0,4,-0.0913328808353652,1,0.0
al_candidate,42,5.047680854797363,2.806764779488246,5,0.9717839274689641,5,1.6542827169956553,1,0.0,7,0.0,1,0.0,2,0.0,4,0.0,6,0.07403136657421049,1,-0.1846748827141609,1,0.0,8,0.0,9,0.0,5,-0.25554554522544387,6,-0.05310202910454803,1,0.0,6,0.13004017059827272,3,0.08470062708612537,1,0.0,5,-0.23693836162666604,1,0.0,1,0.0,1,0.0,1,0.05633808525670858,1,0.0,6,0.0,3,0.0,5,0.0,8,0.0,6,0.0,1,0.0,4,0.0
