seed,gen,ppf_pred,sigma,h_sens_pop,sens_novelty,composite,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
42,1,2.611806631088257,0.1307339370250702,2.1248553704023534,37.66474914550781,2.5870349407196045,7,9,4,7,8,1,9,7,9,4,8,4,9,1,5,1,5,4,8,8,3,7,6,4,3,2,1,5,4,3,9
42,1,2.2098331451416016,0.14640890061855316,2.1248553704023534,33.024532318115234,2.5295634269714355,8,5,1,8,4,1,9,2,1,3,3,4,6,3,5,1,4,9,7,7,3,4,8,8,8,4,1,1,1,3,1
42,1,2.482208013534546,0.06598426401615143,2.1248553704023534,38.442588806152344,0.2987518608570099,4,5,7,6,3,5,9,4,9,4,5,4,6,8,4,7,8,7,1,1,8,7,9,3,7,8,8,6,1,7,5
42,1,3.2807915210723877,0.11855845153331757,2.1248553704023534,34.68877410888672,1.7279350757598877,3,2,9,1,4,5,9,6,3,1,3,3,8,4,1,8,1,1,4,1,2,9,8,8,6,1,8,4,2,3,4
42,1,4.468342304229736,0.13266143202781677,2.1248553704023534,28.110435485839844,1.3461313247680664,3,1,1,4,2,1,4,4,4,7,5,1,8,4,5,9,1,5,4,1,4,3,1,5,3,5,1,4,4,6,6
42,1,2.166673183441162,0.061004072427749634,2.1248553704023534,38.996315002441406,0.19058234989643097,5,3,4,5,5,5,9,8,3,1,2,3,2,8,9,2,7,8,3,8,9,9,7,3,2,9,3,4,3,5,2
42,1,2.0876924991607666,0.07317068427801132,2.1248553704023534,38.76934051513672,0.609456479549408,4,9,5,3,4,6,6,3,2,4,7,7,5,6,5,5,6,2,9,3,5,5,8,1,8,1,3,8,3,6,4
42,1,2.5286452770233154,0.07331869751214981,2.1248553704023534,38.55081558227539,0.5849190950393677,6,4,5,5,5,8,5,1,3,6,4,7,2,2,3,8,6,5,3,9,8,4,7,9,3,3,5,3,7,6,2
42,1,3.7562525272369385,0.12034501880407333,2.1248553704023534,35.67885971069336,1.93000066280365,4,6,6,3,4,5,9,6,3,8,1,3,1,5,6,5,7,5,2,5,7,4,4,5,5,4,8,2,1,7,8
42,1,2.9586243629455566,0.09704037755727768,2.1248553704023534,35.71339416503906,1.0726969242095947,3,5,7,8,9,4,6,3,7,2,4,9,7,4,1,4,1,1,9,4,1,6,1,4,2,1,5,6,4,8,9
42,1,2.861555814743042,0.0803353413939476,2.1248553704023534,38.591487884521484,0.8500531315803528,7,9,9,8,3,2,7,8,8,6,8,6,6,1,4,1,1,5,1,9,5,6,1,8,4,5,6,6,5,7,8
42,1,5.145026683807373,0.18060851097106934,2.1248553704023534,40.52336883544922,4.824519157409668,6,6,8,8,8,3,9,6,7,8,1,3,8,9,7,4,2,5,4,8,5,4,4,8,6,2,4,4,3,7,3
