source,seed,ppf_pred,pos_0_type,pos_0_shap,pos_1_type,pos_1_shap,pos_2_type,pos_2_shap,pos_3_type,pos_3_shap,pos_4_type,pos_4_shap,pos_5_type,pos_5_shap,pos_6_type,pos_6_shap,pos_7_type,pos_7_shap,pos_8_type,pos_8_shap,pos_9_type,pos_9_shap,pos_10_type,pos_10_shap,pos_11_type,pos_11_shap,pos_12_type,pos_12_shap,pos_13_type,pos_13_shap,pos_14_type,pos_14_shap,pos_15_type,pos_15_shap,pos_16_type,pos_16_shap,pos_17_type,pos_17_shap,pos_18_type,pos_18_shap,pos_19_type,pos_19_shap,pos_20_type,pos_20_shap,pos_21_type,pos_21_shap,pos_22_type,pos_22_shap,pos_23_type,pos_23_shap,pos_24_type,pos_24_shap,pos_25_type,pos_25_shap,pos_26_type,pos_26_shap,pos_27_type,pos_27_shap,pos_28_type,pos_28_shap,pos_29_type,pos_29_shap,pos_30_type,pos_30_shap
qica_best,42,2.066627264022827,9,-0.15686524100204496,8,-0.32845799202269493,1,-0.042632471571033566,9,-0.12716650861217066,7,0.0,4,0.0,3,0.0,1,0.0,2,0.2935159970395691,9,-0.22370759398760498,3,0.0,6,0.0,6,0.0,2,-0.048160652685853046,2,0.0,9,-0.13529169910739677,7,-0.025661844964476405,4,0.0,1,0.0,1,0.0,2,0.0,2,0.0,1,0.0,5,-0.12170123844698594,9,0.0,8,0.0,3,0.0,7,0.0,6,0.0,2,0.0,7,0.0
qica_best,137,1.8322734832763672,4,-0.16750350724717566,1,-0.11856261236013126,3,-0.1806124770656676,8,-0.04696592861218285,2,0.0,3,0.0,1,0.0,6,0.0,4,-0.3335735209392742,8,0.0,3,-0.04300076045214472,4,0.0,3,0.0,6,-0.08087133310959187,2,0.0,6,0.0,4,0.0,7,0.0,8,0.0,1,0.0,6,0.0,3,0.0,9,0.0,2,-0.07635905245183365,2,-0.027647032334407295,5,0.0,9,0.0,6,-0.07538680153474332,2,0.0,7,0.0,7,0.0
qica_best,271,1.8556923866271973,9,-0.034492874866148604,4,-0.45333171047660975,4,-0.19325530269415908,8,-0.06274181429248134,1,0.0,2,0.0,3,0.0,1,0.0,6,0.0,3,-0.10058286654712176,8,0.0,4,0.0,7,0.0,2,0.0,3,0.0,3,-0.035951506187331374,2,0.0,8,0.0,2,-0.035124502894215766,2,0.0,9,0.0,4,0.0,4,0.0,9,0.0,5,-0.04517537987437025,5,0.0,4,0.0,5,-0.13691867252131518,2,-0.029489492402569113,5,0.0,9,0.0
qica_best,509,1.9806478023529053,2,0.0,4,-0.5271332668484285,7,-0.04421343853874453,9,-0.09110563072074043,3,-0.005415022415046877,7,-0.016086481108751993,3,0.0,2,0.0,1,0.0,3,-0.08906744465460545,6,0.0,1,0.0,7,0.0,2,-0.014464817034301126,4,0.0,3,-0.0883120609593976,8,0.0,2,0.0,4,0.0,5,-0.07102151374962754,8,0.0,8,0.0,4,0.0,2,0.0,5,-0.05528903100097023,8,0.0,1,0.0,8,0.0,2,0.0,5,0.0,1,0.0
qica_best,1023,1.8244428634643555,3,-0.17956707414428436,1,-0.09711990161628681,3,-0.15021693673792066,3,0.0,7,0.0,8,0.0,5,0.0,9,0.0,9,-0.27784771817051374,7,0.0,4,-0.0692909512668809,1,0.0,3,0.0,6,-0.10259955188476969,8,0.0,5,0.0,4,-0.07471197262172641,8,0.0,2,-0.07991547425959263,3,0.0,5,0.0,4,0.0,1,0.0,2,0.0,5,-0.057554413200170185,5,0.0,9,0.0,5,-0.06948965201701887,4,0.0,1,0.0,3,0.0
al_candidate,137,5.621329307556152,6,0.31097691345735823,5,1.5609228482002284,9,-0.24455666069360024,4,0.0,3,0.024824922318612726,9,0.0,6,0.0,1,0.0,2,0.6733418221870155,2,0.3208877071838576,7,0.0,9,0.0,7,0.0,8,0.0,1,0.0,7,0.0,1,0.0,7,0.0,7,0.024909195381601634,4,0.07570627303550724,7,0.0,2,0.0,1,0.0,2,-0.13349555182272005,8,0.025055328924771213,9,0.0,2,0.0,2,0.0,3,0.0,4,0.0,6,0.0
al_candidate,509,5.963813781738281,2,0.40245468177318244,5,1.5935698897959205,9,-0.29302833656611293,2,0.0,9,0.0,8,0.0,3,0.0,7,0.0,2,0.7016477828763285,2,0.32303186192955125,7,0.0,3,0.06070489706662403,7,0.0454353237276095,4,0.0,9,0.0,9,0.0,7,0.0,3,0.09841434204222312,6,0.0,2,0.0,1,0.0,9,0.0,7,0.0,5,0.0,3,0.0,2,0.022726730329766732,3,0.0,4,0.0,4,0.0,6,0.026100099379668517,8,0.0
al_candidate,1023,5.913762092590332,5,0.6908600252794339,5,1.4719722861923306,9,-0.22583358128878148,6,0.0,9,0.0,6,0.0,6,0.0,5,0.06631132442367474,6,0.5726003015153502,2,0.1984493875097333,5,-0.1969986547861735,9,0.10014794258328415,3,0.059762567118327524,4,0.0,3,0.0,7,0.0,4,0.19373398465963287,7,0.0,6,0.0,4,0.0,7,0.0,1,0.0,6,0.0,1,0.0,9,0.0,4,0.0,7,0.0,3,0.0,3,0.0,6,0.0,9,0.0
al_candidate,1023,6.135025978088379,2,0.31973107267954914,5,1.4987452781397692,7,0.0,8,0.026788713789992404,5,0.0,1,0.0,7,0.0,1,0.027834868150502068,6,0.5993203623788067,5,0.4181809223455496,4,0.060129761838797965,1,0.0,1,0.0,6,0.0,6,0.0,2,0.0,3,0.1259113892502154,3,0.05201843119276911,5,0.0,9,0.02360866893890813,3,0.0,3,0.0,8,0.0,1,0.0,3,0.0,5,0.0,2,0.0,4,0.0,3,0.0,8,0.0,8,0.0
al_candidate,509,5.377288818359375,5,0.8311185981562369,5,1.5964966558576321,3,-0.20170674668727906,4,0.0,9,0.0,1,0.0,8,0.0,1,0.0,2,0.7534907028317752,4,-0.22046721098551492,8,0.0,1,0.0,7,0.0,7,0.0,9,0.0,7,0.0,7,0.0,1,0.0,4,0.1859584190077252,7,0.0,5,0.09856496208611576,2,0.0,5,-0.4378232862125324,9,0.0,3,0.0,4,-0.09015441286691186,5,0.0,6,-0.12094537221139239,2,0.0,1,0.0,5,0.0
