rank,ppf_max,sigma_ppf,cycle_length_days,fitness,ppf_safe,surrogate_confident,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
1,1.9072312116622925,0.07821987569332123,353.292724609375,310.3812155723572,True,True,1,4,2,8,6,3,5,4,1,7,9,8,9,8,1,4,8,9,8,5,7,7,7,9,5,3,5,5,7,1,1
2,2.0144941806793213,0.05932050570845604,345.8702087402344,309.82543098926544,True,True,4,3,1,8,6,1,1,1,3,7,6,8,4,5,1,4,9,5,5,5,2,7,8,6,5,5,5,9,1,1,8
3,2.0316686630249023,0.0675852820277214,348.3946838378906,307.82425619937754,True,True,9,3,1,7,4,8,6,3,4,7,8,8,6,5,6,7,7,8,7,5,2,6,4,9,5,1,4,1,1,1,1
4,1.9647936820983887,0.06170603260397911,344.19952392578125,305.4439545869827,True,True,2,3,7,4,1,8,4,1,4,7,6,9,9,5,5,3,8,8,9,6,4,1,7,1,2,1,1,3,7,3,4
5,2.02131724357605,0.07200371474027634,346.2242736816406,305.07327604293823,True,True,4,4,2,4,4,6,1,1,9,9,8,7,8,5,9,3,8,7,5,6,7,1,8,9,7,1,7,1,5,5,1
6,1.9250140190124512,0.06345376372337341,341.8919677734375,304.691409945488,True,True,4,3,3,6,1,7,1,4,2,9,2,9,9,5,1,4,8,6,5,6,3,4,8,5,3,3,5,5,4,1,5
7,2.371274948120117,0.04506629705429077,342.2135009765625,304.0960637331009,True,True,1,1,8,4,8,6,5,3,4,9,6,6,4,9,1,8,2,2,9,6,2,1,5,9,6,1,4,8,1,1,4
8,1.9369168281555176,0.06546430289745331,346.53851318359375,302.5350477695465,True,True,1,7,2,7,1,1,3,1,9,7,9,8,6,8,6,3,8,7,8,5,6,7,7,6,5,2,5,6,9,1,1
9,1.9147686958312988,0.05389075353741646,341.0179138183594,302.5131137371063,True,True,4,1,1,4,7,7,8,1,4,6,9,6,2,1,6,1,9,8,5,5,6,7,9,4,3,4,5,5,5,4,2
10,2.34291410446167,0.05911944806575775,342.62200927734375,302.0118662118912,True,True,1,6,9,1,3,9,1,4,1,7,9,7,7,8,2,3,8,4,7,7,1,1,5,5,4,5,2,9,1,8,9
11,2.4691083431243896,0.09142056852579117,342.85308837890625,301.33042085170746,True,False,4,1,2,8,1,2,1,1,6,9,7,4,9,8,6,1,8,7,8,5,7,7,7,6,4,1,5,5,6,3,1
12,2.1040403842926025,0.066847063601017,344.9461975097656,301.28242961124135,True,True,3,9,9,1,5,6,2,4,9,7,7,1,8,5,1,8,9,9,6,7,2,5,7,5,2,1,7,9,1,1,4
13,2.0366945266723633,0.06913373619318008,340.22332763671875,300.56173062324524,True,True,8,1,1,1,1,1,6,1,7,3,9,9,1,4,2,5,7,6,5,8,6,9,7,8,7,1,9,2,4,2,1
14,2.1360702514648438,0.06940855085849762,337.1666564941406,300.43056082725525,True,True,1,7,3,1,1,9,4,9,1,1,8,6,6,7,1,6,3,8,6,9,8,1,3,7,5,5,3,9,1,4,1
15,2.1936094760894775,0.07097737491130829,339.8053894042969,300.40297758579254,True,True,1,4,4,8,4,8,4,1,7,2,6,4,4,5,3,2,8,7,5,6,6,4,6,9,3,1,9,9,4,1,3
