rank,ppf_max,sigma_ppf,entropy_ppf,entropy_sigma_equiv,cycle_length_days,fitness,ppf_safe,sigma_confident,entropy_confident,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
1,2.0274734497070312,0.07243766635656357,-1.2060904502868652,0.0724376575075924,346.84912109375,342.72721779346466,True,True,True,1,9,1,1,1,8,8,1,7,8,9,6,9,6,5,4,4,6,9,6,1,8,8,7,6,1,7,8,5,1,1
2,2.0005199909210205,0.06781356036663055,-1.2720547914505005,0.06781354503883487,346.1146545410156,342.3296727538109,True,True,True,1,4,1,8,3,7,7,1,7,2,3,6,9,6,9,8,9,6,7,6,1,1,8,8,9,7,7,8,1,4,1
3,2.015622138977051,0.07504750788211823,-1.1706955432891846,0.07504749670463079,345.06414794921875,341.1084680557251,True,True,True,1,4,1,4,1,1,3,1,7,2,6,8,9,5,8,4,4,6,7,6,8,6,8,7,9,7,7,8,6,1,1
4,1.9455924034118652,0.06338910758495331,-1.339524745941162,0.06338910491037456,342.1708679199219,339.08281326293945,True,True,True,9,1,7,1,1,1,2,1,6,8,9,6,8,6,4,1,7,7,5,5,1,5,3,9,2,3,3,6,6,1,7
5,2.0032496452331543,0.0888138860464096,-1.0022740364074707,0.08881385915361927,343.60589599609375,338.99080592393875,True,False,True,1,2,1,7,1,3,3,1,7,7,9,4,5,2,1,4,8,9,7,5,3,9,8,7,9,3,5,8,1,3,1
6,1.8806291818618774,0.05185149610042572,-1.5404331684112549,0.05185148514478057,341.24700927734375,338.8288354873657,True,True,True,1,7,1,3,1,3,2,1,7,8,9,4,9,3,2,4,8,6,7,6,6,8,8,6,7,1,7,6,4,1,1
7,1.857987403869629,0.062091678380966187,-1.3602049350738525,0.06209166809054845,341.2682189941406,338.5818113684654,True,True,True,1,3,1,7,1,1,1,7,7,2,9,8,9,6,5,3,9,6,7,6,4,3,8,7,5,7,7,8,6,2,1
8,1.9699163436889648,0.07209918648004532,-1.2107739448547363,0.07209918935771174,342.0548400878906,338.2927994132042,True,True,True,1,7,1,9,1,6,4,1,7,2,9,6,7,6,3,3,9,7,7,6,6,3,6,7,8,3,7,8,5,2,1
9,2.134380340576172,0.05570359528064728,-1.468772053718567,0.055703595279526855,342.0588073730469,338.1408724784851,True,True,True,1,3,4,1,7,8,7,1,4,2,9,5,6,6,8,3,9,5,3,3,1,8,9,7,6,4,7,1,1,2,1
10,1.859816551208496,0.05707218497991562,-1.4444996118545532,0.05707220005519609,340.4256896972656,337.9774691462517,True,True,True,9,1,9,8,1,3,3,1,7,2,9,4,7,5,1,7,7,7,7,6,1,3,8,5,9,3,4,6,7,3,1
11,1.9430623054504395,0.07135507464408875,-1.2211483716964722,0.07135506818177852,341.26690673828125,337.843909740448,True,True,True,3,1,3,1,7,8,9,7,1,7,9,8,4,9,1,3,8,7,8,8,8,4,8,7,2,2,9,7,5,5,9
12,1.9636926651000977,0.06852409243583679,-1.2616310119628906,0.06852411545936175,341.460693359375,337.75774133205414,True,True,True,1,4,1,8,1,1,6,1,7,2,8,3,9,6,3,3,9,6,7,6,9,8,8,8,6,2,9,8,7,3,1
13,1.9923713207244873,0.06118291988968849,-1.374948501586914,0.06118293092672272,341.1333923339844,337.72336012125015,True,True,True,1,9,1,8,1,7,3,1,7,6,9,6,9,6,1,4,9,6,2,6,8,9,8,7,9,4,7,8,2,5,1
14,1.969272494316101,0.06739214062690735,-1.2782883644104004,0.06739213915488915,340.6664123535156,337.1530849933624,True,True,True,1,4,1,7,1,3,2,1,7,6,9,4,3,6,7,9,8,7,9,6,1,1,8,7,6,7,1,8,6,2,1
15,2.125641345977783,0.07010623067617416,-1.2388046979904175,0.07010625696685453,341.71319580078125,337.11681032180786,True,True,True,1,7,1,2,1,4,6,1,7,4,5,9,9,6,5,8,4,8,7,6,1,3,8,7,9,2,4,8,3,1,1
