rank,ppf_max,sigma_ppf,h_gauss,h_hist,h_traj,cycle_length_days,fitness,ppf_safe,al_hist_flag,al_sigma_flag,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
1,2.0124099254608154,0.07263992726802826,-1.2033019065856934,3.3306690738754696e-14,-165.79449462890625,345.8416748046875,341.4937469959259,True,False,False,1,1,2,1,4,1,1,1,1,9,8,1,9,6,3,1,8,7,7,5,3,1,1,1,4,1,1,4,1,1,1
2,1.941633939743042,0.04740403592586517,-1.630109190940857,3.3306690738754696e-14,-165.60289001464844,344.07720947265625,341.2770036458969,True,False,False,4,1,3,1,3,1,1,1,1,9,8,1,7,7,3,1,8,5,7,5,3,1,1,1,4,1,1,6,1,1,1
3,1.9565738439559937,0.09617523849010468,-0.9226447939872742,3.3306690738754696e-14,-158.44163513183594,344.6571350097656,339.3382374820886,True,False,True,1,1,8,1,3,1,1,1,1,8,9,1,7,3,5,1,4,8,6,6,1,1,1,1,5,2,1,2,5,1,1
4,2.1265106201171875,0.07036790996789932,-1.2350795269012451,0.6108642816543579,-167.38641357421875,344.2266845703125,339.2939640879631,True,False,False,4,1,5,1,1,2,1,1,1,9,7,1,5,7,1,1,8,7,7,5,5,1,1,1,3,1,1,6,1,1,1
5,1.9321796894073486,0.07094477862119675,-1.2269151210784912,3.3306690738754696e-14,-162.2465362548828,343.11859130859375,339.29233533144,True,False,False,6,1,9,4,3,8,1,1,1,9,8,1,9,7,3,1,8,6,7,5,3,1,1,1,4,1,1,6,1,1,1
6,1.9428552389144897,0.07360656559467316,-1.1900824308395386,3.3306690738754696e-14,-156.27529907226562,344.294677734375,339.2841616206699,True,False,False,3,1,9,8,3,3,1,8,1,9,9,1,8,2,3,1,9,9,7,2,3,1,1,1,5,1,1,4,2,1,1
7,2.0602362155914307,0.05549721047282219,-1.4724839925765991,0.14614474773406982,-164.64883422851562,343.149169921875,339.19066923856735,True,False,False,3,1,9,1,3,1,1,1,1,9,9,1,5,9,3,1,8,6,7,5,3,1,1,1,8,1,1,8,1,1,1
8,1.9739325046539307,0.07791086286306381,-1.1332515478134155,0.14614474773406982,-167.30503845214844,342.4049987792969,338.0890173316002,True,False,False,1,1,8,2,1,9,1,1,1,7,9,1,6,6,8,1,6,9,7,5,9,1,1,1,2,3,1,9,2,1,1
9,2.0116281509399414,0.07315118610858917,-1.1962884664535522,3.3306690738754696e-14,-161.28221130371094,342.2393798828125,337.90177512168884,True,False,False,4,1,9,1,3,7,1,9,1,7,8,1,6,5,3,1,9,9,6,9,2,1,1,1,2,3,1,3,2,1,1
10,1.8236737251281738,0.08382952958345413,-1.0600312948226929,5.2513549064769904e-14,-162.70191955566406,341.4566955566406,337.8249763250351,True,False,True,1,1,4,9,2,9,1,4,1,4,7,1,9,8,4,1,7,9,8,5,4,1,1,1,5,7,1,7,6,1,1
11,1.930809497833252,0.061341580003499985,-1.3723589181900024,3.3306690738754696e-14,-164.12005615234375,340.6018981933594,337.24820071458817,True,False,False,1,1,8,1,1,7,1,2,1,7,9,1,5,8,3,1,7,8,6,6,2,1,1,1,4,4,1,2,7,1,1
12,1.9446638822555542,0.06420328468084335,-1.3267621994018555,3.3306690738754696e-14,-165.872314453125,340.6576232910156,337.02690410614014,True,False,False,4,1,3,1,3,1,1,3,1,9,8,1,7,2,3,1,8,9,2,5,3,1,1,1,7,1,1,3,1,1,1
13,2.005281925201416,0.05576317757368088,-1.4677029848098755,3.3306690738754696e-14,-161.22036743164062,341.9630432128906,336.85983354957017,True,False,False,1,1,9,9,4,3,1,1,1,9,6,1,8,5,5,1,4,3,3,5,4,1,1,1,5,9,1,5,5,1,1
14,1.85447359085083,0.07383698970079422,-1.1869570016860962,3.697042672001771e-14,-162.1785430908203,340.2618408203125,336.8144298195839,True,False,False,9,1,3,2,3,3,1,3,1,9,7,1,7,6,7,1,8,8,7,5,1,1,1,1,4,1,1,6,6,1,1
15,1.8377047777175903,0.0391031913459301,-1.82261323928833,3.5638159090467525e-14,-163.57725524902344,338.477783203125,336.57045418024063,True,False,False,1,1,7,4,3,3,1,5,1,3,6,1,3,6,1,1,7,6,7,5,3,1,1,1,5,9,1,7,5,1,1
