pattern,pred_ppf,sigma_ppf,h_gauss,h_hist,h_traj,cycle,priority,entropy_mode
"[9, 1, 9, 3, 9, 3, 1, 6, 1, 9, 3, 1, 8, 3, 5, 1, 9, 7, 7, 5, 5, 1, 1, 1, 1, 7, 1, 8, 1, 1, 1]",1.88478684425354,0.10417752712965012,-0.8427205681800842,1.7731280326843262,-160.81553649902344,328.5187683105469,309.05644851771433,combined
"[3, 1, 6, 9, 7, 4, 1, 7, 1, 4, 7, 1, 9, 6, 6, 1, 7, 7, 8, 6, 2, 1, 1, 1, 6, 3, 1, 3, 3, 1, 1]",1.935715675354004,0.09383952617645264,-0.9472304582595825,1.7660423517227173,-164.2470703125,334.8373107910156,305.48730572139743,combined
"[7, 1, 1, 3, 9, 6, 1, 2, 1, 4, 7, 1, 3, 9, 9, 1, 1, 4, 6, 8, 6, 1, 1, 1, 8, 2, 1, 7, 6, 1, 1]",1.8937668800354004,0.11613593250513077,-0.7340553402900696,1.8132189512252808,-163.54568481445312,314.7428283691406,301.3556556627751,combined
"[7, 1, 8, 2, 7, 4, 1, 6, 1, 4, 9, 1, 9, 1, 2, 1, 7, 3, 6, 3, 5, 1, 1, 1, 6, 5, 1, 1, 6, 1, 1]",1.9311766624450684,0.11591142416000366,-0.7359903454780579,1.8410204648971558,-163.55825805664062,315.4806823730469,300.75243921014413,combined
"[4, 1, 1, 9, 1, 4, 1, 6, 1, 7, 7, 1, 8, 7, 3, 1, 9, 7, 7, 5, 6, 1, 1, 1, 6, 4, 1, 2, 2, 1, 1]",1.9096107482910156,0.09490068256855011,-0.935985803604126,1.6972427368164062,-166.55291748046875,333.220458984375,296.1628217233149,combined
"[3, 1, 4, 8, 9, 7, 1, 6, 1, 9, 9, 1, 9, 6, 7, 1, 8, 4, 8, 3, 1, 1, 1, 1, 9, 4, 1, 7, 3, 1, 1]",1.9688653945922852,0.11054066568613052,-0.7834330797195435,1.756279468536377,-158.70797729492188,330.757568359375,295.04425895434184,combined
"[9, 1, 1, 1, 4, 4, 1, 7, 1, 9, 9, 1, 2, 5, 7, 1, 4, 1, 4, 5, 1, 1, 1, 1, 5, 1, 1, 6, 2, 1, 1]",1.8303357362747192,0.09582113474607468,-0.9263333678245544,1.6438877582550049,-159.59732055664062,326.1663513183594,292.94110830023556,combined
"[7, 1, 3, 8, 2, 8, 1, 5, 1, 8, 8, 1, 4, 1, 1, 1, 9, 1, 8, 2, 5, 1, 1, 1, 6, 5, 1, 9, 2, 1, 1]",1.9213045835494995,0.12598976492881775,-0.6526162028312683,1.7857913970947266,-160.55615234375,312.061279296875,290.05086577909105,combined
"[4, 1, 1, 1, 1, 4, 1, 5, 1, 3, 7, 1, 4, 2, 8, 1, 7, 8, 7, 5, 6, 1, 1, 1, 6, 4, 1, 7, 2, 1, 1]",1.9001686573028564,0.10301350057125092,-0.8539567589759827,1.691434383392334,-163.32911682128906,324.54913330078125,288.8971313984249,combined
"[2, 1, 3, 8, 8, 3, 1, 2, 1, 9, 9, 1, 8, 4, 9, 1, 9, 7, 6, 8, 3, 1, 1, 1, 2, 1, 1, 8, 2, 1, 1]",1.9731923341751099,0.10130833089351654,-0.8706480264663696,1.705665111541748,-162.86190795898438,333.180908203125,288.00778976452347,combined
"[9, 1, 4, 3, 7, 8, 1, 2, 1, 6, 7, 1, 8, 5, 1, 1, 9, 7, 5, 5, 6, 1, 1, 1, 1, 1, 1, 2, 7, 1, 1]",1.9042762517929077,0.09684070944786072,-0.9157494902610779,1.6643284559249878,-167.9465789794922,328.3296813964844,286.95844114005143,combined
"[4, 1, 4, 3, 7, 4, 1, 4, 1, 2, 7, 1, 6, 1, 4, 1, 3, 8, 1, 5, 5, 1, 1, 1, 7, 4, 1, 7, 6, 1, 1]",1.8982384204864502,0.10845603048801422,-0.8024717569351196,1.6921299695968628,-166.4775848388672,320.384765625,285.59762159896576,combined
"[9, 1, 3, 8, 3, 9, 1, 7, 1, 9, 8, 1, 3, 5, 4, 1, 4, 4, 9, 7, 7, 1, 1, 1, 6, 1, 1, 5, 1, 1, 1]",1.856905460357666,0.09403400123119354,-0.945160448551178,1.6015489101409912,-158.60067749023438,330.19482421875,284.7871834965109,combined
"[1, 1, 9, 3, 3, 3, 1, 8, 1, 2, 1, 1, 6, 6, 4, 1, 8, 8, 9, 6, 1, 1, 1, 1, 5, 9, 1, 2, 3, 1, 1]",1.94537353515625,0.09637410193681717,-0.9205793142318726,1.6778675317764282,-169.28927612304688,329.1443176269531,283.88392766260597,combined
"[1, 1, 1, 1, 4, 3, 1, 2, 1, 7, 7, 1, 4, 1, 2, 1, 3, 4, 5, 5, 4, 1, 1, 1, 6, 2, 1, 9, 8, 1, 1]",1.863041877746582,0.08407900482416153,-1.0570600032806396,1.612278699874878,-161.90350341796875,326.00640869140625,282.1261899197977,combined
"[1, 1, 1, 8, 8, 6, 1, 6, 1, 1, 7, 1, 8, 6, 3, 1, 9, 7, 5, 5, 5, 1, 1, 1, 5, 1, 1, 7, 2, 1, 1]",1.9618330001831055,0.09000204503536224,-0.9889844059944153,1.6882236003875732,-167.49737548828125,327.77197265625,282.0587163502239,combined
"[1, 1, 4, 3, 8, 7, 1, 1, 1, 4, 7, 1, 8, 7, 8, 1, 9, 7, 5, 8, 2, 1, 1, 1, 5, 1, 1, 2, 7, 1, 1]",1.8957593441009521,0.07529045641422272,-1.1674635410308838,1.5798625946044922,-167.81300354003906,337.0697326660156,280.90252234119754,combined
"[7, 1, 9, 7, 9, 3, 1, 3, 1, 4, 8, 1, 3, 6, 1, 1, 9, 6, 7, 5, 6, 1, 1, 1, 6, 2, 1, 2, 1, 1, 1]",1.9465197324752808,0.08764643222093582,-1.0155059099197388,1.6344985961914062,-158.40122985839844,333.72088623046875,280.22630890235337,combined
"[3, 1, 7, 4, 8, 7, 1, 3, 1, 4, 4, 1, 7, 9, 1, 1, 1, 7, 6, 5, 5, 1, 1, 1, 2, 3, 1, 7, 2, 1, 1]",1.888884425163269,0.08606522530317307,-1.033711314201355,1.6349319219589233,-162.60275268554688,322.9795837402344,279.5561999491163,combined
"[1, 1, 9, 2, 9, 2, 1, 3, 1, 3, 4, 1, 9, 8, 4, 1, 7, 1, 9, 5, 1, 1, 1, 1, 6, 7, 1, 3, 5, 1, 1]",1.8439525365829468,0.0809132531285286,-1.0954391956329346,1.5835739374160767,-164.9970245361328,325.2240905761719,279.3000926751411,combined
"[9, 1, 4, 8, 9, 8, 1, 2, 1, 1, 2, 1, 4, 9, 9, 1, 8, 7, 9, 5, 2, 1, 1, 1, 5, 2, 1, 6, 6, 1, 1]",1.94398832321167,0.08490515500307083,-1.0472818613052368,1.6678776741027832,-165.814208984375,325.5300598144531,279.29387910262295,combined
"[1, 1, 1, 8, 8, 9, 1, 7, 1, 1, 7, 1, 8, 6, 1, 1, 9, 7, 5, 5, 6, 1, 1, 1, 2, 1, 1, 7, 2, 1, 1]",1.891636610031128,0.08225027471780777,-1.0790501832962036,1.5964007377624512,-167.69139099121094,330.63372802734375,279.0301506763315,combined
"[3, 1, 1, 9, 8, 4, 1, 1, 1, 1, 9, 1, 6, 5, 1, 1, 8, 7, 7, 5, 5, 1, 1, 1, 2, 3, 1, 7, 3, 1, 1]",1.9397010803222656,0.08844514191150665,-1.0064340829849243,1.6297203302383423,-163.7887420654297,331.5429382324219,278.5594098525495,combined
"[8, 1, 3, 8, 9, 4, 1, 5, 1, 3, 6, 1, 8, 6, 1, 1, 3, 7, 8, 5, 5, 1, 1, 1, 1, 1, 1, 2, 4, 1, 1]",1.81837797164917,0.08646246790885925,-1.0291063785552979,1.5798625946044922,-168.30581665039062,320.60125732421875,278.5480596326571,combined
"[4, 1, 9, 8, 9, 5, 1, 5, 1, 4, 4, 1, 4, 4, 8, 1, 3, 9, 7, 5, 9, 1, 1, 1, 7, 2, 1, 2, 7, 1, 1]",1.8696976900100708,0.09554561972618103,-0.9292128682136536,1.6373989582061768,-158.6196746826172,318.0498046875,278.5338737388672,combined
