pattern,pred_ppf,sigma_ppf,h_gauss,h_hist,h_traj,h_combined,cycle,priority,entropy_mode
"[3, 1, 8, 4, 7, 3, 1, 8, 1, 8, 7, 1, 9, 2, 2, 1, 3, 9, 6, 9, 1, 1, 1, 1, 1, 1, 1, 8, 2, 1, 1]",1.9804754257202148,0.11170155555009842,-0.772986114025116,1.7198325395584106,-165.18551635742188,3.4869256019592285,329.609375,580.3267099810695,combined
"[7, 1, 8, 4, 2, 4, 1, 1, 1, 3, 7, 1, 9, 6, 2, 1, 9, 7, 6, 5, 1, 1, 1, 1, 5, 5, 1, 8, 5, 1, 1]",1.9815958738327026,0.09211251139640808,-0.9658058881759644,1.596934199333191,-162.73257446289062,3.3800435066223145,331.8852844238281,566.1023770140282,combined
"[4, 1, 8, 4, 2, 4, 1, 6, 1, 4, 7, 1, 4, 2, 2, 1, 4, 7, 7, 9, 3, 1, 1, 1, 4, 2, 1, 8, 5, 1, 1]",1.9061801433563232,0.10482142865657806,-0.8365585207939148,1.585542917251587,-163.1792755126953,3.164919376373291,318.47412109375,528.7770893317706,combined
"[8, 1, 1, 4, 4, 3, 1, 6, 1, 8, 7, 1, 1, 2, 2, 1, 9, 7, 3, 5, 1, 1, 1, 1, 5, 2, 1, 8, 2, 1, 1]",1.9489758014678955,0.08517758548259735,-1.0440784692764282,1.5686347484588623,-164.14927673339844,3.1555004119873047,322.4921875,522.1325516817343,combined
"[1, 1, 4, 4, 6, 4, 1, 7, 1, 8, 4, 1, 4, 2, 5, 1, 4, 7, 7, 9, 4, 1, 1, 1, 7, 6, 1, 8, 2, 1, 1]",1.9383164644241333,0.09953896701335907,-0.8882676362991333,1.5501909255981445,-161.5116729736328,3.0494303703308105,323.9725036621094,509.6851315389952,combined
"[4, 1, 9, 2, 3, 4, 1, 2, 1, 3, 4, 1, 3, 3, 2, 1, 9, 9, 7, 6, 4, 1, 1, 1, 7, 5, 1, 8, 6, 1, 1]",1.9472286701202393,0.10377365350723267,-0.8466048240661621,1.678834319114685,-161.31056213378906,3.039086103439331,326.4697265625,509.52880618775015,combined
"[3, 1, 8, 8, 3, 3, 1, 1, 1, 9, 7, 1, 4, 2, 2, 1, 4, 7, 6, 9, 5, 1, 1, 1, 1, 3, 1, 8, 2, 1, 1]",1.978454351425171,0.09684580564498901,-0.9156966805458069,1.6151829957962036,-166.02191162109375,3.0850062370300293,325.3843078613281,507.37188406137386,combined
"[1, 1, 4, 4, 8, 4, 1, 1, 1, 1, 7, 1, 4, 2, 2, 1, 4, 7, 6, 9, 5, 1, 1, 1, 4, 5, 1, 8, 2, 1, 1]",1.9984958171844482,0.1131192222237587,-0.7603744268417358,1.556306004524231,-164.3033905029297,3.1450767517089844,319.6536560058594,503.045725896707,combined
"[4, 1, 8, 4, 8, 3, 1, 6, 1, 3, 7, 1, 4, 6, 2, 1, 9, 7, 6, 7, 1, 1, 1, 1, 5, 3, 1, 2, 7, 1, 1]",1.9679417610168457,0.08213675767183304,-1.0804312229156494,1.5501909255981445,-164.58023071289062,3.0275306701660156,324.18170166015625,498.7289589538681,combined
"[9, 1, 8, 4, 2, 4, 1, 2, 1, 4, 7, 1, 4, 2, 2, 1, 4, 9, 6, 8, 6, 1, 1, 1, 6, 2, 1, 8, 2, 1, 1]",1.8592973947525024,0.07471684366464615,-1.175111174583435,1.4525597095489502,-160.7497100830078,2.903770923614502,318.9943542480469,498.19143246555853,combined
"[3, 1, 3, 4, 7, 3, 1, 6, 1, 8, 9, 1, 4, 2, 2, 1, 4, 7, 7, 8, 1, 1, 1, 1, 3, 9, 1, 8, 5, 1, 1]",1.9307185411453247,0.08955829590559006,-0.9939269423484802,1.5530318021774292,-163.7305908203125,2.9544060230255127,324.188232421875,496.07602039031224,combined
"[3, 1, 7, 4, 2, 3, 1, 5, 1, 8, 7, 1, 4, 2, 2, 1, 7, 7, 5, 5, 8, 1, 1, 1, 1, 1, 1, 8, 2, 1, 1]",1.9324944019317627,0.08789907395839691,-1.0126276016235352,1.4958691596984863,-163.48475646972656,2.9633452892303467,323.1664733886719,495.5529754928339,combined
"[3, 1, 1, 4, 8, 3, 1, 1, 1, 8, 8, 1, 4, 2, 2, 1, 4, 7, 5, 9, 1, 1, 1, 1, 6, 5, 1, 8, 2, 1, 1]",1.9286354780197144,0.08693400025367737,-1.023667573928833,1.5463833808898926,-164.34327697753906,2.8651490211486816,330.1294250488281,490.4345685726257,combined
"[7, 1, 8, 4, 9, 4, 1, 5, 1, 8, 7, 1, 4, 8, 5, 1, 9, 7, 5, 2, 4, 1, 1, 1, 2, 1, 1, 8, 9, 1, 1]",1.9508697986602783,0.09492336958646774,-0.9357470273971558,1.6438877582550049,-164.4923095703125,2.9039478302001953,328.75384521484375,489.36301478151535,combined
