rank,ppf_max,sigma_ppf,h_gauss,h_hist,h_traj,h_combined,cycle_length_days,fitness,ppf_safe,al_combined_flag,al_sigma_flag,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30
1,1.897925853729248,0.07945696264505386,-1.1136014461517334,1.3798929452896118,-165.64523315429688,1.5478025674819946,343.1175231933594,339.1749904155731,True,True,False,1,1,9,4,3,1,1,1,1,8,7,1,7,2,1,1,9,7,6,4,1,1,1,1,2,3,1,8,2,1,1
2,1.911181926727295,0.07691321521997452,-1.1461390256881714,1.3408597707748413,-162.69293212890625,1.9952387809753418,342.8906555175781,339.01575726270676,True,True,False,1,1,4,4,8,4,1,1,1,8,7,1,5,6,7,1,8,8,6,3,2,1,1,1,5,2,1,8,2,1,1
3,2.026411533355713,0.05981818586587906,-1.3975069522857666,1.1569558382034302,-167.1525115966797,0.6908529996871948,341.67022705078125,337.7770856618881,True,True,False,4,1,8,8,4,4,1,1,1,7,7,1,7,6,1,1,6,9,5,6,3,1,1,1,9,6,1,5,2,1,1
4,2.032518148422241,0.07899896055459976,-1.1193821430206299,1.3543988466262817,-166.92433166503906,1.6073580980300903,342.2310791015625,337.56884801387787,True,True,False,1,1,8,4,9,8,1,1,1,7,7,1,7,5,2,1,8,7,6,5,1,1,1,1,4,1,1,8,3,1,1
5,1.9780889749526978,0.06178410351276398,-1.3651705980300903,1.1979540586471558,-166.52174377441406,0.8663879632949829,340.7712097167969,337.1520978808403,True,True,False,1,1,8,4,1,4,1,1,1,8,7,1,8,5,2,1,4,7,3,9,4,1,1,1,8,1,1,8,4,1,1
6,1.9016437530517578,0.07232533395290375,-1.2076420783996582,1.2616055011749268,-165.80943298339844,1.5248394012451172,340.3900146484375,336.71647197008133,True,True,False,1,1,8,4,3,9,1,1,1,8,7,1,6,6,4,1,9,7,5,9,3,1,1,1,5,3,1,8,2,1,1
7,1.8626530170440674,0.06865178048610687,-1.2597697973251343,1.193549633026123,-167.05784606933594,0.7511948347091675,339.81170654296875,336.57054328918457,True,True,False,1,1,8,1,3,9,1,1,1,8,7,1,9,6,7,1,3,7,5,5,1,1,1,1,7,3,1,8,7,1,1
8,2.007356643676758,0.06630221754312515,-1.294593334197998,1.2454410791397095,-166.84817504882812,1.225677251815796,340.690673828125,336.52468091249466,True,True,False,1,1,8,4,8,4,1,1,1,9,7,1,4,6,2,1,8,7,6,9,1,1,1,1,6,1,1,8,2,1,1
9,2.003600835800171,0.0684157982468605,-1.2632129192352295,1.2616055011749268,-166.45018005371094,1.3506346940994263,340.3553466796875,336.2178422808647,True,True,False,1,1,8,4,4,8,1,1,1,8,7,1,5,2,8,1,8,7,6,5,3,1,1,1,6,1,1,8,8,1,1
10,2.036496877670288,0.05573275685310364,-1.4682488441467285,1.1072449684143066,-168.78282165527344,0.40772151947021484,339.91534423828125,336.06886887550354,True,False,False,1,1,1,9,3,1,1,1,1,8,7,1,6,9,2,1,9,2,6,6,1,1,1,1,5,1,1,8,2,1,1
11,1.9414761066436768,0.0717029720544815,-1.2162846326828003,1.2911418676376343,-163.72177124023438,1.7950469255447388,339.8983459472656,335.99690729379654,True,True,False,1,1,9,4,2,4,1,3,1,8,9,1,9,7,2,1,8,7,5,6,1,1,1,1,5,3,1,8,2,1,1
12,2.0490877628326416,0.06380306929349899,-1.3330153226852417,1.2608734369277954,-168.9473114013672,0.9827008843421936,340.1783142089844,335.9861015677452,True,True,False,1,1,8,4,1,9,1,1,1,8,7,1,6,6,2,1,9,3,6,9,1,1,1,1,9,1,1,8,1,1,1
13,1.997183084487915,0.05393683537840843,-1.5010030269622803,1.123572826385498,-167.96951293945312,0.6329638361930847,339.27398681640625,335.7628850340843,True,True,False,1,1,4,4,9,1,1,1,1,8,7,1,4,6,2,1,7,7,5,9,1,1,1,1,4,1,1,8,2,1,1
14,1.9664338827133179,0.05803070217370987,-1.427844762802124,1.153988242149353,-165.3866729736328,0.5493037104606628,338.7958984375,335.4074521660805,True,False,False,3,1,1,9,2,4,1,4,1,7,5,1,5,2,8,1,8,8,9,6,2,1,1,1,2,4,1,5,5,1,1
15,1.9772076606750488,0.058404721319675446,-1.4214199781417847,1.1343380212783813,-166.58595275878906,0.7888760566711426,338.8009033203125,335.2122364640236,True,True,False,1,1,8,4,8,7,1,1,1,8,7,1,4,2,2,1,7,7,5,9,1,1,1,1,5,2,1,8,2,1,1
