seed,gen,best_ppf,best_cycle,best_fit,stag,H_mean,H_sens
42,0,1.8518441,329.24,-1.8518441,0,1.7557019994428233,1.7463928831054736
42,1,1.8501766,309.46152,-1.8501766,0,1.6871289418726385,1.6694757774312206
42,2,1.7920204,323.59625,-1.7920204,0,1.6059866152007563,1.5739112559287554
42,3,1.7920204,323.59625,-1.7920204,1,1.5166605551583665,1.4922145312074968
42,4,1.7324601,308.53598,-1.7324601,0,1.3924668635943622,1.3661949422904938
42,5,1.7324601,308.53598,-1.7324601,1,1.2371574697362908,1.2229011058696853
42,6,1.7324601,308.53598,-1.7324601,2,1.1114799282167622,1.0981955870110074
42,7,1.7258784,313.7508,-1.7258784,0,1.061395981717028,1.0523303791971248
42,8,1.6934834,326.71402,-1.6934834,0,1.0573501059352723,1.043317106673225
42,9,1.6860954,318.35104,-1.6860954,0,0.9531414631453541,0.9362186502498161
42,10,1.6860954,318.35104,-1.6860954,1,0.9400322955388037,0.9179629287574517
42,11,1.6725564,319.18924,-1.6725564,0,0.8838349516351135,0.8612716913226721
42,12,1.6702448,319.9634,-1.6702448,0,0.8597198768312369,0.8464944654183895
42,13,1.6678288,323.0273,-1.6678288,0,0.8040014568986609,0.7900464287504154
42,14,1.6499157,319.1274,-1.6499157,0,0.6806853644086236,0.6641474820314222
42,15,1.6309508,322.1179,-1.6309508,0,0.627084345571967,0.6206914411502455
42,16,1.6128988,319.60248,-1.6128988,0,0.5499012062572218,0.5506714451374022
42,17,1.6128988,319.60248,-1.6128988,1,0.5154064069376297,0.5053255685254282
42,18,1.6128988,319.60248,-1.6128988,2,0.5254880896113102,0.5134245019103822
42,19,1.6075157,319.35168,-1.6075157,0,0.5214212763552958,0.5133841223487485
42,20,1.6043863,319.72284,-1.6043863,0,0.4965244867916577,0.48174157335401324
42,21,1.6022589,320.8745,-1.6022589,0,0.4885526383963615,0.467302772247569
42,22,1.6022589,320.8745,-1.6022589,1,0.45820550904909596,0.43720932612945346
42,23,1.5999926,320.53183,-1.5999926,0,0.41120984892224055,0.3826932754775551
42,24,1.5980833,320.46924,-1.5980833,0,0.4196134877300175,0.39367551465836054
42,25,1.5980833,320.46924,-1.5980833,1,0.411656537000557,0.3832956232181426
42,26,1.5968511,321.89462,-1.5968511,0,0.3835344609768575,0.3675262270491063
42,27,1.5899801,321.65793,-1.5899801,0,0.41661290017220953,0.3940058385920753
42,28,1.5887028,321.37604,-1.5887028,0,0.34053906801919426,0.3213571485541394
42,29,1.5887028,321.37604,-1.5887028,1,0.343317801936564,0.331700382199005
42,30,1.5873727,313.5121,-1.5873727,0,0.3066348634148626,0.2927064774220499
42,31,1.5872099,321.54236,-1.5872099,0,0.27969106623684836,0.26372734671888753
42,32,1.5832752,315.31796,-1.5832752,0,0.2858406250223359,0.265678382579826
42,33,1.5832752,315.31796,-1.5832752,1,0.25397258270997475,0.23156619105896536
42,34,1.5810611,316.09113,-1.5810611,0,0.2414133733550288,0.22683876023177743
42,35,1.5810611,316.09113,-1.5810611,1,0.24631986816640233,0.23548992249227482
42,36,1.5798222,313.901,-1.5798222,0,0.2283488862433288,0.22144200053944238
42,37,1.578443,315.3886,-1.578443,0,0.24911184247568904,0.2362921675194634
42,38,1.578443,315.3886,-1.578443,1,0.2564425221921872,0.2456162486128486
42,39,1.5768584,313.5138,-1.5768584,0,0.24057621135579904,0.22493573787141602
42,40,1.5768584,313.5138,-1.5768584,1,0.26152265881631115,0.24295782937079358
42,41,1.5736468,313.67847,-1.5736468,0,0.2889886197558377,0.2634110550778762
42,42,1.5729625,313.21353,-1.5729625,0,0.26100035659117476,0.23813904474279116
42,43,1.5729625,313.21353,-1.5729625,1,0.25906971345514224,0.23543082622784767
42,44,1.5729625,313.21353,-1.5729625,2,0.24671045606753794,0.22530852019371714
42,45,1.5679976,312.58246,-1.5679976,0,0.25419267705793497,0.23436391256548772
